    # BLOCK:          ACTUAL_X:          X_AVE:              ERROR:
           1         9.383259e+01         9.383259e+01         0.000000e+00
           2         9.845235e+01         9.614247e+01         1.633333e+00
           3         9.635953e+01         9.621482e+01         1.090490e+00
           4         9.985059e+01         9.712376e+01         1.135138e+00
           5         9.747494e+01         9.719400e+01         9.102806e-01
           6         9.445541e+01         9.673757e+01         8.654665e-01
           7         9.630918e+01         9.667637e+01         7.439890e-01
           8         9.474012e+01         9.643434e+01         6.892353e-01
           9         9.777812e+01         9.658365e+01         6.286180e-01
          10         9.426200e+01         9.635148e+01         6.071165e-01
          11         9.603459e+01         9.632267e+01         5.526072e-01
          12         9.671765e+01         9.635559e+01         5.075359e-01
          13         9.887541e+01         9.654942e+01         5.041510e-01
          14         9.485624e+01         9.642848e+01         4.824286e-01
          15         9.598365e+01         9.639882e+01         4.511773e-01
          16         9.606576e+01         9.637801e+01         4.234586e-01
          17         9.664553e+01         9.639374e+01         3.988416e-01
          18         9.796424e+01         9.648099e+01         3.861091e-01
          19         9.533035e+01         9.642043e+01         3.705064e-01
          20         9.945024e+01         9.657192e+01         3.816968e-01
