    # BLOCK:          ACTUAL_X:          X_AVE:              ERROR:
           1         2.310378e+02         2.310378e+02         0.000000e+00
           2         2.363440e+02         2.336909e+02         1.876013e+00
           3         2.405252e+02         2.359690e+02         2.241420e+00
           4         2.297007e+02         2.344019e+02         2.160508e+00
           5         2.232433e+02         2.321702e+02         2.640423e+00
           6         2.204107e+02         2.302103e+02         2.835953e+00
           7         2.340802e+02         2.307631e+02         2.484118e+00
           8         2.368228e+02         2.315206e+02         2.286173e+00
           9         2.370507e+02         2.321350e+02         2.113114e+00
          10         2.287908e+02         2.318006e+02         1.928084e+00
          11         2.349853e+02         2.320901e+02         1.774407e+00
          12         2.412407e+02         2.328527e+02         1.782877e+00
          13         2.327705e+02         2.328464e+02         1.645744e+00
          14         2.333908e+02         2.328853e+02         1.528650e+00
          15         2.233130e+02         2.322471e+02         1.554244e+00
          16         2.297203e+02         2.320892e+02         1.465105e+00
          17         2.375172e+02         2.324085e+02         1.413286e+00
          18         2.467455e+02         2.332050e+02         1.542978e+00
          19         2.299852e+02         2.330355e+02         1.471045e+00
          20         2.231027e+02         2.325389e+02         1.478955e+00
