    # BLOCK:          ACTUAL_X:          X_AVE:              ERROR:
           1         3.039551e+02         3.039551e+02         0.000000e+00
           2         2.888665e+02         2.964108e+02         5.334606e+00
           3         3.178398e+02         3.035538e+02         6.831030e+00
           4         2.972596e+02         3.019803e+02         5.301411e+00
           5         2.814713e+02         2.978785e+02         5.607761e+00
           6         2.912355e+02         2.967713e+02         4.781182e+00
           7         3.114885e+02         2.988738e+02         4.536933e+00
           8         3.027680e+02         2.993605e+02         3.995845e+00
           9         3.100791e+02         3.005515e+02         3.725116e+00
          10         2.864593e+02         2.991423e+02         3.609331e+00
          11         3.005905e+02         2.992739e+02         3.283611e+00
          12         3.010205e+02         2.994195e+02         3.013201e+00
          13         2.990793e+02         2.993933e+02         2.781530e+00
          14         3.087062e+02         3.000585e+02         2.661203e+00
          15         2.897313e+02         2.993700e+02         2.571306e+00
          16         2.919149e+02         2.989041e+02         2.452453e+00
          17         2.960653e+02         2.987371e+02         2.313870e+00
          18         3.159058e+02         2.996909e+02         2.373785e+00
          19         3.001291e+02         2.997140e+02         2.248961e+00
          20         3.008000e+02         2.997683e+02         2.137168e+00
