    # BLOCK:          ACTUAL_X:          X_AVE:              ERROR:
           1         7.454158e+01         7.454158e+01         0.000000e+00
           2         7.712368e+01         7.583263e+01         9.129121e-01
           3         7.602421e+01         7.589649e+01         6.108375e-01
           4         7.793453e+01         7.640600e+01         6.360666e-01
           5         7.571021e+01         7.626684e+01         5.238546e-01
           6         7.387295e+01         7.586786e+01         5.685313e-01
           7         7.610705e+01         7.590203e+01         4.883383e-01
           8         7.434695e+01         7.570764e+01         4.643752e-01
           9         7.682547e+01         7.583185e+01         4.290665e-01
          10         7.529863e+01         7.577853e+01         3.894590e-01
          11         7.630779e+01         7.582664e+01         3.570134e-01
          12         7.515411e+01         7.577060e+01         3.316321e-01
          13         7.915474e+01         7.603091e+01         3.953019e-01
          14         7.464526e+01         7.593194e+01         3.792543e-01
          15         7.591253e+01         7.593065e+01         3.539729e-01
          16         7.534621e+01         7.589412e+01         3.337289e-01
          17         7.548189e+01         7.586987e+01         3.149775e-01
          18         7.886716e+01         7.603639e+01         3.386455e-01
          19         7.541432e+01         7.600365e+01         3.224009e-01
          20         7.729242e+01         7.606808e+01         3.126543e-01
