    # BLOCK:          ACTUAL_T:              T_AVE:              ERROR:
         118         1.130513e+00         1.096601e+00         1.365193e-03
         119         1.077973e+00         1.096445e+00         1.362666e-03
         120         1.129871e+00         1.096723e+00         1.379487e-03
         121         1.115630e+00         1.096880e+00         1.376907e-03
         122         1.107881e+00         1.096970e+00         1.368570e-03
         123         1.088355e+00         1.096900e+00         1.359235e-03
         124         1.093251e+00         1.096870e+00         1.348592e-03
         125         1.102772e+00         1.096918e+00         1.338629e-03
         126         1.091788e+00         1.096877e+00         1.328624e-03
         127         1.101498e+00         1.096913e+00         1.318661e-03
         128         1.071015e+00         1.096711e+00         1.323790e-03
         129         1.101039e+00         1.096745e+00         1.313953e-03
         130         1.093576e+00         1.096720e+00         1.304072e-03
         131         1.101877e+00         1.096760e+00         1.294711e-03
         132         1.095843e+00         1.096753e+00         1.284921e-03
         133         1.099660e+00         1.096774e+00         1.275446e-03
         134         1.122161e+00         1.096964e+00         1.279921e-03
         135         1.084803e+00         1.096874e+00         1.273606e-03
         136         1.114910e+00         1.097006e+00         1.271127e-03
         137         1.100734e+00         1.097034e+00         1.262140e-03
         138         1.119214e+00         1.097194e+00         1.263186e-03
         139         1.091691e+00         1.097155e+00         1.254719e-03
         140         1.086632e+00         1.097080e+00         1.248006e-03
         141         1.100632e+00         1.097105e+00         1.239409e-03
         142         1.096121e+00         1.097098e+00         1.230700e-03
         143         1.122540e+00         1.097276e+00         1.234887e-03
         144         1.102112e+00         1.097309e+00         1.226768e-03
         145         1.118237e+00         1.097454e+00         1.226768e-03
         146         1.104496e+00         1.097502e+00         1.219314e-03
         147         1.111479e+00         1.097597e+00         1.214721e-03
         148         1.109484e+00         1.097677e+00         1.209166e-03
         149         1.092201e+00         1.097641e+00         1.201609e-03
         150         1.081980e+00         1.097536e+00         1.198125e-03
         151         1.079447e+00         1.097416e+00         1.196165e-03
         152         1.123357e+00         1.097587e+00         1.200408e-03
         153         1.096770e+00         1.097582e+00         1.192574e-03
         154         1.102192e+00         1.097612e+00         1.185206e-03
         155         1.120433e+00         1.097759e+00         1.186670e-03
         156         1.068343e+00         1.097570e+00         1.193950e-03
         157         1.080292e+00         1.097460e+00         1.191407e-03
         158         1.090208e+00         1.097414e+00         1.184750e-03
         159         1.096285e+00         1.097407e+00         1.177320e-03
         160         1.104205e+00         1.097450e+00         1.170728e-03
         161         1.099662e+00         1.097464e+00         1.163537e-03
