    # BLOCK:          ACTUAL_PE:              PE_AVE:              ERROR:
         110        -5.492878e+00        -5.451885e+00         2.087229e-03
         111        -5.412364e+00        -5.451529e+00         2.098574e-03
         112        -5.426847e+00        -5.451309e+00         2.091376e-03
         113        -5.475676e+00        -5.451525e+00         2.083956e-03
         114        -5.438694e+00        -5.451412e+00         2.068713e-03
         115        -5.438750e+00        -5.451302e+00         2.053652e-03
         116        -5.437652e+00        -5.451184e+00         2.039317e-03
         117        -5.433512e+00        -5.451033e+00         2.027472e-03
         118        -5.503299e+00        -5.451476e+00         2.058105e-03
         119        -5.421386e+00        -5.451223e+00         2.056284e-03
         120        -5.503663e+00        -5.451660e+00         2.085066e-03
         121        -5.480641e+00        -5.451900e+00         2.081544e-03
         122        -5.469375e+00        -5.452043e+00         2.069405e-03
         123        -5.439450e+00        -5.451941e+00         2.055112e-03
         124        -5.446572e+00        -5.451897e+00         2.038994e-03
         125        -5.459024e+00        -5.451954e+00         2.023479e-03
         126        -5.444770e+00        -5.451897e+00         2.008223e-03
         127        -5.459596e+00        -5.451958e+00         1.993325e-03
         128        -5.414269e+00        -5.451664e+00         1.999382e-03
         129        -5.459178e+00        -5.451722e+00         1.984731e-03
         130        -5.448287e+00        -5.451695e+00         1.969640e-03
         131        -5.459796e+00        -5.451757e+00         1.955575e-03
         132        -5.448471e+00        -5.451732e+00         1.940918e-03
         133        -5.456195e+00        -5.451766e+00         1.926615e-03
         134        -5.491734e+00        -5.452064e+00         1.935188e-03
         135        -5.432596e+00        -5.451920e+00         1.926219e-03
         136        -5.478218e+00        -5.452113e+00         1.921737e-03
         137        -5.456634e+00        -5.452146e+00         1.907993e-03
         138        -5.485163e+00        -5.452386e+00         1.909108e-03
         139        -5.444584e+00        -5.452329e+00         1.896199e-03
         140        -5.435470e+00        -5.452209e+00         1.886474e-03
         141        -5.458604e+00        -5.452254e+00         1.873640e-03
         142        -5.450962e+00        -5.452245e+00         1.860468e-03
         143        -5.490308e+00        -5.452511e+00         1.866400e-03
         144        -5.460879e+00        -5.452570e+00         1.854344e-03
         145        -5.485000e+00        -5.452793e+00         1.854994e-03
         146        -5.465480e+00        -5.452880e+00         1.844323e-03
         147        -5.475212e+00        -5.453032e+00         1.838023e-03
         148        -5.473320e+00        -5.453169e+00         1.830709e-03
         149        -5.443804e+00        -5.453106e+00         1.819500e-03
         150        -5.429758e+00        -5.452951e+00         1.814016e-03
         151        -5.424601e+00        -5.452763e+00         1.811692e-03
         152        -5.493072e+00        -5.453028e+00         1.819079e-03
         153        -5.451549e+00        -5.453018e+00         1.807215e-03
         154        -5.461722e+00        -5.453075e+00         1.796364e-03
         155        -5.486667e+00        -5.453292e+00         1.797800e-03
         156        -5.409285e+00        -5.453010e+00         1.808272e-03
         157        -5.426131e+00        -5.452838e+00         1.804841e-03
         158        -5.442337e+00        -5.452772e+00         1.794641e-03
