    # BLOCK:          ACTUAL_P:          P_AVE:              ERROR:
         118         1.191827e+00         1.452627e+00         1.002687e-02
         119         1.742443e+00         1.455062e+00         1.023411e-02
         120         1.202865e+00         1.452960e+00         1.036237e-02
         121         1.374859e+00         1.452315e+00         1.029681e-02
         122         1.426239e+00         1.452101e+00         1.021463e-02
         123         1.486782e+00         1.452383e+00         1.013548e-02
         124         1.438699e+00         1.452273e+00         1.005434e-02
         125         1.500145e+00         1.452656e+00         9.981197e-03
         126         1.490368e+00         1.452955e+00         9.906468e-03
         127         1.400656e+00         1.452543e+00         9.837020e-03
         128         1.514776e+00         1.453029e+00         9.772176e-03
         129         1.355011e+00         1.452270e+00         9.725918e-03
         130         1.401403e+00         1.451878e+00         9.658971e-03
         131         1.368444e+00         1.451241e+00         9.606214e-03
         132         1.473236e+00         1.451408e+00         9.534885e-03
         133         1.405578e+00         1.451064e+00         9.469418e-03
         134         1.292672e+00         1.449881e+00         9.472237e-03
         135         1.628557e+00         1.451205e+00         9.494088e-03
         136         1.334916e+00         1.450350e+00         9.462705e-03
         137         1.467673e+00         1.450476e+00         9.394479e-03
         138         1.317369e+00         1.449512e+00         9.375788e-03
         139         1.489472e+00         1.449799e+00         9.312743e-03
         140         1.457397e+00         1.449854e+00         9.246381e-03
         141         1.404425e+00         1.449531e+00         9.186416e-03
         142         1.451482e+00         1.449545e+00         9.121733e-03
         143         1.236795e+00         1.448057e+00         9.178471e-03
         144         1.369294e+00         1.447510e+00         9.131014e-03
         145         1.297876e+00         1.446478e+00         9.126170e-03
         146         1.318390e+00         1.445601e+00         9.105734e-03
         147         1.449589e+00         1.445628e+00         9.043831e-03
         148         1.391809e+00         1.445265e+00         8.990032e-03
         149         1.611644e+00         1.446381e+00         8.998776e-03
         150         1.541844e+00         1.447018e+00         8.961261e-03
         151         1.577969e+00         1.447885e+00         8.943779e-03
         152         1.323441e+00         1.447066e+00         8.922332e-03
         153         1.542621e+00         1.447691e+00         8.885848e-03
         154         1.414841e+00         1.447477e+00         8.830707e-03
         155         1.442534e+00         1.447446e+00         8.773793e-03
         156         1.608506e+00         1.448478e+00         8.778085e-03
         157         1.500059e+00         1.448806e+00         8.728320e-03
         158         1.448312e+00         1.448803e+00         8.673078e-03
         159         1.467346e+00         1.448920e+00         8.619315e-03
         160         1.351253e+00         1.448310e+00         8.587032e-03
         161         1.417692e+00         1.448119e+00         8.535801e-03
         162         1.404752e+00         1.447852e+00         8.487308e-03
         163         1.229587e+00         1.446513e+00         8.540216e-03
         164         1.455347e+00         1.446567e+00         8.488312e-03
         165         1.557739e+00         1.447240e+00         8.463566e-03
