    # BLOCK:          DISTANCE:          ACTUAL_GOFR:          AVE_GOFR:              ERROR:
           1         2.321292e+00         9.959987e-01         9.959987e-01         0.000000e+00
           1         2.346942e+00         9.632507e-01         9.632507e-01         0.000000e+00
           1         2.372592e+00         9.231099e-01         9.231099e-01         0.000000e+00
           1         2.398241e+00         9.246249e-01         9.246249e-01         0.000000e+00
           1         2.423891e+00         8.959001e-01         8.959001e-01         0.000000e+00
           1         2.449541e+00         8.797551e-01         8.797551e-01         0.000000e+00
           1         2.475190e+00         9.162019e-01         9.162019e-01         0.000000e+00
           1         2.500840e+00         8.874610e-01         8.874610e-01         0.000000e+00
           1         2.526489e+00         8.738165e-01         8.738165e-01         0.000000e+00
           1         2.552139e+00         8.714097e-01         8.714097e-01         0.000000e+00
           2         1.282482e-02         0.000000e+00         0.000000e+00         0.000000e+00
           2         3.847446e-02         0.000000e+00         0.000000e+00         0.000000e+00
           2         6.412410e-02         0.000000e+00         0.000000e+00         0.000000e+00
           2         8.977374e-02         0.000000e+00         0.000000e+00         0.000000e+00
           2         1.154234e-01         0.000000e+00         0.000000e+00         0.000000e+00
           2         1.410730e-01         0.000000e+00         0.000000e+00         0.000000e+00
           2         1.667227e-01         0.000000e+00         0.000000e+00         0.000000e+00
           2         1.923723e-01         0.000000e+00         0.000000e+00         0.000000e+00
           2         2.180219e-01         0.000000e+00         0.000000e+00         0.000000e+00
           2         2.436716e-01         0.000000e+00         0.000000e+00         0.000000e+00
           2         2.693212e-01         0.000000e+00         0.000000e+00         0.000000e+00
           2         2.949709e-01         0.000000e+00         0.000000e+00         0.000000e+00
           2         3.206205e-01         0.000000e+00         0.000000e+00         0.000000e+00
           2         3.462701e-01         0.000000e+00         0.000000e+00         0.000000e+00
           2         3.719198e-01         0.000000e+00         0.000000e+00         0.000000e+00
           2         3.975694e-01         0.000000e+00         0.000000e+00         0.000000e+00
           2         4.232190e-01         0.000000e+00         0.000000e+00         0.000000e+00
           2         4.488687e-01         0.000000e+00         0.000000e+00         0.000000e+00
           2         4.745183e-01         0.000000e+00         0.000000e+00         0.000000e+00
           2         5.001680e-01         0.000000e+00         0.000000e+00         0.000000e+00
           2         5.258176e-01         0.000000e+00         0.000000e+00         0.000000e+00
           2         5.514672e-01         0.000000e+00         0.000000e+00         0.000000e+00
           2         5.771169e-01         0.000000e+00         0.000000e+00         0.000000e+00
           2         6.027665e-01         0.000000e+00         0.000000e+00         0.000000e+00
           2         6.284162e-01         0.000000e+00         0.000000e+00         0.000000e+00
           2         6.540658e-01         0.000000e+00         0.000000e+00         0.000000e+00
           2         6.797154e-01         0.000000e+00         0.000000e+00         0.000000e+00
           2         7.053651e-01         0.000000e+00         0.000000e+00         0.000000e+00
           2         7.310147e-01         0.000000e+00         0.000000e+00         0.000000e+00
           2         7.566644e-01         0.000000e+00         0.000000e+00         0.000000e+00
           2         7.823140e-01         0.000000e+00         0.000000e+00         0.000000e+00
           2         8.079636e-01         0.000000e+00         0.000000e+00         0.000000e+00
           2         8.336133e-01         0.000000e+00         0.000000e+00         0.000000e+00
           2         8.592629e-01         0.000000e+00         0.000000e+00         0.000000e+00
           2         8.849126e-01         0.000000e+00         7.796596e-04         5.513026e-04
           2         9.105622e-01         2.063459e-02         2.596168e-02         3.766823e-03
           2         9.362118e-01         1.833438e-01         1.863736e-01         2.142404e-03
           2         9.618615e-01         5.821644e-01         5.792353e-01         2.071224e-03
           2         9.875111e-01         1.182499e+00         1.205213e+00         1.606084e-02
           2         1.013161e+00         1.815335e+00         1.861060e+00         3.233269e-02
           2         1.038810e+00         2.370065e+00         2.319676e+00         3.563035e-02
           2         1.064460e+00         2.429030e+00         2.415881e+00         9.297955e-03
           2         1.090110e+00         2.448280e+00         2.413612e+00         2.451400e-02
           2         1.115759e+00         2.239455e+00         2.313273e+00         5.219707e-02
           2         1.141409e+00         1.980373e+00         2.055273e+00         5.296186e-02
           2         1.167059e+00         1.925696e+00         1.932519e+00         4.824036e-03
