    # BLOCK:          ACTUAL_X:          X_AVE:              ERROR:
           1         1.268877e+03         1.268877e+03         0.000000e+00
           2         1.193206e+03         1.231042e+03         2.675379e+01
           3         1.174160e+03         1.212081e+03         2.361743e+01
           4         1.307708e+03         1.235988e+03         2.724704e+01
           5         1.357309e+03         1.260252e+03         3.075943e+01
           6         1.208132e+03         1.251566e+03         2.683142e+01
           7         1.297314e+03         1.258101e+03         2.378100e+01
           8         1.094006e+03         1.237589e+03         2.830432e+01
           9         1.128213e+03         1.225436e+03         2.764557e+01
          10         1.263609e+03         1.229254e+03         2.514318e+01
          11         1.186147e+03         1.225335e+03         2.316082e+01
          12         1.197466e+03         1.223012e+03         2.134687e+01
          13         1.263699e+03         1.226142e+03         1.993291e+01
          14         1.369254e+03         1.236364e+03         2.096708e+01
          15         1.280541e+03         1.239310e+03         1.977504e+01
          16         1.267572e+03         1.241076e+03         1.861782e+01
          17         1.220722e+03         1.239879e+03         1.756111e+01
          18         1.168005e+03         1.235886e+03         1.703341e+01
          19         1.294417e+03         1.238966e+03         1.641312e+01
          20         1.294320e+03         1.241734e+03         1.582410e+01
