    # BLOCK:          ACTUAL_X:          X_AVE:              ERROR:
           1         6.565940e+01         6.565940e+01         0.000000e+00
           2         6.769540e+01         6.667740e+01         7.198347e-01
           3         6.947270e+01         6.760917e+01         8.994926e-01
           4         6.801060e+01         6.770952e+01         6.801950e-01
           5         6.605910e+01         6.737944e+01         6.190886e-01
           6         6.944490e+01         6.772368e+01         6.040804e-01
           7         6.888050e+01         6.788894e+01         5.399153e-01
           8         6.790600e+01         6.789108e+01         4.724301e-01
           9         6.869200e+01         6.798007e+01         4.282376e-01
          10         6.744220e+01         6.792628e+01         3.887769e-01
          11         6.794640e+01         6.792811e+01         3.534379e-01
          12         6.858730e+01         6.798304e+01         3.282259e-01
          13         6.867530e+01         6.803629e+01         3.072670e-01
          14         6.705360e+01         6.796610e+01         2.932272e-01
          15         6.929230e+01         6.805451e+01         2.866981e-01
          16         6.644640e+01         6.795401e+01         2.858544e-01
          17         6.956790e+01         6.804894e+01         2.843672e-01
          18         6.730750e+01         6.800775e+01         2.715359e-01
          19         6.680540e+01         6.794447e+01         2.645157e-01
          20         6.718900e+01         6.790669e+01         2.539727e-01
