    # BLOCK:          ACTUAL_X:          X_AVE:              ERROR:
           1         3.773992e+02         3.773992e+02         0.000000e+00
           2         3.622472e+02         3.698232e+02         5.357041e+00
           3         3.585006e+02         3.660490e+02         4.717097e+00
           4         3.745578e+02         3.681762e+02         3.988725e+00
           5         3.806056e+02         3.706621e+02         3.889220e+00
           6         3.646370e+02         3.696579e+02         3.368160e+00
           7         3.699802e+02         3.697039e+02         2.887309e+00
           8         3.618474e+02         3.687219e+02         2.688229e+00
           9         3.727116e+02         3.691652e+02         2.425813e+00
          10         4.002992e+02         3.722786e+02         3.672934e+00
          11         3.695392e+02         3.720295e+02         3.347463e+00
          12         3.640782e+02         3.713669e+02         3.133402e+00
          13         3.709630e+02         3.713359e+02         2.892525e+00
          14         3.846810e+02         3.722891e+02         2.838640e+00
          15         3.799228e+02         3.727980e+02         2.694631e+00
          16         3.555308e+02         3.717188e+02         2.733798e+00
          17         3.633960e+02         3.712292e+02         2.616456e+00
          18         3.658486e+02         3.709303e+02         2.488115e+00
          19         3.675142e+02         3.707505e+02         2.363648e+00
          20         3.683640e+02         3.706312e+02         2.248476e+00
