    # BLOCK:          ACTUAL_X:          X_AVE:              ERROR:
           1         2.281595e+03         2.281595e+03         0.000000e+00
           2         2.079586e+03         2.180590e+03         7.142097e+01
           3         2.125940e+03         2.162374e+03         4.988310e+01
           4         2.311490e+03         2.199653e+03         4.941637e+01
           5         2.394079e+03         2.238538e+03         5.265464e+01
           6         2.014670e+03         2.201227e+03         5.554702e+01
           7         2.330172e+03         2.219647e+03         5.057396e+01
           8         2.275997e+03         2.226691e+03         4.474003e+01
           9         2.138613e+03         2.216905e+03         4.082524e+01
          10         2.063033e+03         2.201517e+03         3.953624e+01
          11         2.405393e+03         2.220052e+03         4.005140e+01
          12         2.167906e+03         2.215706e+03         3.694877e+01
          13         2.042672e+03         2.202396e+03         3.642519e+01
          14         2.264618e+03         2.206840e+03         3.409346e+01
          15         2.289701e+03         2.212364e+03         3.226498e+01
          16         2.123636e+03         2.206819e+03         3.072129e+01
          17         2.286204e+03         2.211488e+03         2.926691e+01
          18         2.073294e+03         2.203811e+03         2.863027e+01
          19         2.224007e+03         2.204874e+03         2.714314e+01
          20         2.314554e+03         2.210358e+03         2.633414e+01
