    # BLOCK:          ACTUAL_TE:              TE_AVE:              ERROR:
           1        -8.060800e-01        -8.060800e-01         0.000000e+00
           2        -8.032960e-01        -8.046880e-01         9.842926e-04
           3        -8.019080e-01        -8.037613e-01         1.001532e-03
           4        -8.040880e-01        -8.038430e-01         7.544712e-04
           5        -8.060040e-01        -8.042752e-01         7.167584e-04
           6        -8.038640e-01        -8.042067e-01         6.005662e-04
           7        -8.086440e-01        -8.048406e-01         7.806532e-04
           8        -8.021640e-01        -8.045060e-01         7.513538e-04
           9        -8.083640e-01        -8.049347e-01         7.806332e-04
          10        -8.057080e-01        -8.050120e-01         7.063900e-04
          11        -8.052880e-01        -8.050371e-01         6.426182e-04
          12        -8.062040e-01        -8.051343e-01         5.963788e-04
          13        -8.028440e-01        -8.049582e-01         5.759390e-04
          14        -8.053160e-01        -8.049837e-01         5.353673e-04
          15        -8.007200e-01        -8.046995e-01         5.701636e-04
          16        -8.050400e-01        -8.047208e-01         5.349255e-04
          17        -8.074280e-01        -8.048800e-01         5.266308e-04
          18        -8.009360e-01        -8.046609e-01         5.410387e-04
          19        -8.027680e-01        -8.045613e-01         5.216548e-04
          20        -8.039840e-01        -8.045324e-01         4.963699e-04
