    # BLOCK:          ACTUAL_TE:              TE_AVE:              ERROR:
           1        -9.369360e-01        -9.369360e-01         0.000000e+00
           2        -9.376440e-01        -9.372900e-01         2.503158e-04
           3        -9.274200e-01        -9.340000e-01         2.691452e-03
           4        -9.364840e-01        -9.346210e-01         2.089003e-03
           5        -9.398680e-01        -9.356704e-01         1.916744e-03
           6        -9.322720e-01        -9.351040e-01         1.678889e-03
           7        -9.339840e-01        -9.349440e-01         1.446651e-03
           8        -9.457520e-01        -9.362950e-01         1.788673e-03
           9        -9.291040e-01        -9.354960e-01         1.759361e-03
          10        -9.394920e-01        -9.358956e-01         1.628172e-03
          11        -9.389160e-01        -9.361702e-01         1.503132e-03
          12        -9.374760e-01        -9.362790e-01         1.381804e-03
          13        -9.291720e-01        -9.357323e-01         1.379424e-03
          14        -9.342440e-01        -9.356260e-01         1.284984e-03
          15        -9.403160e-01        -9.359387e-01         1.236773e-03
          16        -9.348840e-01        -9.358727e-01         1.161230e-03
          17        -9.358160e-01        -9.358694e-01         1.092927e-03
          18        -9.367160e-01        -9.359164e-01         1.033220e-03
          19        -9.314360e-01        -9.356806e-01         1.005390e-03
          20        -9.394880e-01        -9.358710e-01         9.729768e-04
