    # BLOCK:          ACTUAL_TE:              TE_AVE:              ERROR:
           1        -5.039960e-01        -5.039960e-01         0.000000e+00
           2        -5.049640e-01        -5.044800e-01         3.422397e-04
           3        -5.044280e-01        -5.044627e-01         2.285983e-04
           4        -5.037360e-01        -5.042810e-01         2.326945e-04
           5        -5.034320e-01        -5.041112e-01         2.402489e-04
           6        -5.036280e-01        -5.040307e-01         2.132785e-04
           7        -5.060160e-01        -5.043143e-01         3.199499e-04
           8        -5.057440e-01        -5.044930e-01         3.260704e-04
           9        -5.024320e-01        -5.042640e-01         3.614161e-04
          10        -5.038240e-01        -5.042200e-01         3.279419e-04
          11        -5.046480e-01        -5.042589e-01         3.004284e-04
          12        -5.046880e-01        -5.042947e-01         2.775125e-04
          13        -5.045720e-01        -5.043160e-01         2.569841e-04
          14        -5.048040e-01        -5.043509e-01         2.409805e-04
          15        -5.026640e-01        -5.042384e-01         2.497805e-04
          16        -5.053960e-01        -5.043108e-01         2.444230e-04
          17        -5.052800e-01        -5.043678e-01         2.366014e-04
          18        -5.041760e-01        -5.043571e-01         2.236966e-04
          19        -5.047120e-01        -5.043758e-01         2.127015e-04
          20        -5.054720e-01        -5.044306e-01         2.090091e-04
