    # BLOCK:          ACTUAL_TE:              TE_AVE:              ERROR:
           1        -9.730920e-01        -9.730920e-01         0.000000e+00
           2        -9.685800e-01        -9.708360e-01         1.595233e-03
           3        -9.757600e-01        -9.724773e-01         1.710845e-03
           4        -9.758960e-01        -9.733320e-01         1.481308e-03
           5        -9.788960e-01        -9.744448e-01         1.547577e-03
           6        -9.784400e-01        -9.751107e-01         1.425718e-03
           7        -9.744200e-01        -9.750120e-01         1.225454e-03
           8        -9.721760e-01        -9.746575e-01         1.122376e-03
           9        -9.705560e-01        -9.742018e-01         1.086254e-03
          10        -9.791880e-01        -9.747004e-01         1.086057e-03
          11        -9.788600e-01        -9.750785e-01         1.051097e-03
          12        -9.806280e-01        -9.755410e-01         1.060370e-03
          13        -9.666320e-01        -9.748557e-01         1.179651e-03
          14        -9.755960e-01        -9.749086e-01         1.096574e-03
          15        -9.708680e-01        -9.746392e-01         1.056037e-03
          16        -9.752120e-01        -9.746750e-01         9.906409e-04
          17        -9.735360e-01        -9.746080e-01         9.346308e-04
          18        -9.730320e-01        -9.745204e-01         8.867985e-04
          19        -9.778680e-01        -9.746966e-01         8.574485e-04
          20        -9.680040e-01        -9.743620e-01         8.774472e-04
