    # BLOCK:          ACTUAL_TE:              TE_AVE:              ERROR:
           1        -6.813280e-01        -6.813280e-01         0.000000e+00
           2        -6.832800e-01        -6.823040e-01         6.901362e-04
           3        -6.833800e-01        -6.826627e-01         5.453849e-04
           4        -6.806080e-01        -6.821490e-01         6.043201e-04
           5        -6.846200e-01        -6.826432e-01         6.550700e-04
           6        -6.833200e-01        -6.827560e-01         5.555186e-04
           7        -6.836640e-01        -6.828857e-01         4.910695e-04
           8        -6.843320e-01        -6.830665e-01         4.617661e-04
           9        -6.803080e-01        -6.827600e-01         5.019767e-04
          10        -6.845160e-01        -6.829356e-01         4.815144e-04
          11        -6.834960e-01        -6.829865e-01         4.404272e-04
          12        -6.827960e-01        -6.829707e-01         4.040111e-04
          13        -6.830280e-01        -6.829751e-01         3.729574e-04
          14        -6.827880e-01        -6.829617e-01         3.465569e-04
          15        -6.822040e-01        -6.829112e-01         3.271139e-04
          16        -6.844440e-01        -6.830070e-01         3.203905e-04
          17        -6.834280e-01        -6.830318e-01         3.024996e-04
          18        -6.809120e-01        -6.829140e-01         3.077647e-04
          19        -6.814120e-01        -6.828349e-01         3.015485e-04
          20        -6.853640e-01        -6.829614e-01         3.118596e-04
