    # BLOCK:          ACTUAL_TE:              TE_AVE:              ERROR:
           1        -5.272200e-01        -5.272200e-01         0.000000e+00
           2        -5.298200e-01        -5.285200e-01         9.192388e-04
           3        -5.279640e-01        -5.283347e-01         6.312325e-04
           4        -5.275200e-01        -5.281310e-01         5.052136e-04
           5        -5.269520e-01        -5.278952e-01         4.558897e-04
           6        -5.283280e-01        -5.279673e-01         3.855725e-04
           7        -5.295920e-01        -5.281994e-01         3.942041e-04
           8        -5.291440e-01        -5.283175e-01         3.621795e-04
           9        -5.257040e-01        -5.280271e-01         4.226107e-04
          10        -5.277200e-01        -5.279964e-01         3.814639e-04
          11        -5.299200e-01        -5.281713e-01         3.847863e-04
          12        -5.289320e-01        -5.282347e-01         3.579048e-04
          13        -5.280080e-01        -5.282172e-01         3.307981e-04
          14        -5.295360e-01        -5.283114e-01         3.203008e-04
          15        -5.257080e-01        -5.281379e-01         3.427609e-04
          16        -5.299360e-01        -5.282503e-01         3.392624e-04
          17        -5.299440e-01        -5.283499e-01         3.336149e-04
          18        -5.287600e-01        -5.283727e-01         3.158578e-04
          19        -5.271880e-01        -5.283103e-01         3.053258e-04
          20        -5.305920e-01        -5.284244e-01         3.106428e-04
