    # BLOCK:          ACTUAL_TE:              TE_AVE:              ERROR:
           1        -7.200520e-01        -7.200520e-01         0.000000e+00
           2        -7.228800e-01        -7.214660e-01         9.998490e-04
           3        -7.183640e-01        -7.204320e-01         1.075677e-03
           4        -7.196160e-01        -7.202280e-01         8.258753e-04
           5        -7.188080e-01        -7.199440e-01         7.078486e-04
           6        -7.212440e-01        -7.201607e-01         6.221507e-04
           7        -7.200680e-01        -7.201474e-01         5.334128e-04
           8        -7.215800e-01        -7.203265e-01         4.958840e-04
           9        -7.210320e-01        -7.204049e-01         4.469387e-04
          10        -7.207600e-01        -7.204404e-01         4.036531e-04
          11        -7.230640e-01        -7.206789e-01         4.317091e-04
          12        -7.208600e-01        -7.206940e-01         3.959971e-04
          13        -7.215840e-01        -7.207625e-01         3.714065e-04
          14        -7.222840e-01        -7.208711e-01         3.604281e-04
          15        -7.197480e-01        -7.207963e-01         3.440892e-04
          16        -7.220000e-01        -7.208715e-01         3.307060e-04
          17        -7.231400e-01        -7.210049e-01         3.371014e-04
          18        -7.220320e-01        -7.210620e-01         3.231665e-04
          19        -7.195920e-01        -7.209846e-01         3.152830e-04
          20        -7.206760e-01        -7.209692e-01         2.998963e-04
