    # BLOCK:          ACTUAL_TE:              TE_AVE:              ERROR:
           1        -5.279836e-01        -5.279836e-01         0.000000e+00
           2        -5.316909e-01        -5.298372e-01         1.310721e-03
           3        -5.293675e-01        -5.296807e-01         8.831181e-04
           4        -5.281266e-01        -5.292921e-01         7.428954e-04
           5        -5.289575e-01        -5.292252e-01         5.973233e-04
           6        -5.290313e-01        -5.291929e-01         4.986429e-04
           7        -5.289506e-01        -5.291583e-01         4.286084e-04
           8        -5.302179e-01        -5.292907e-01         3.949674e-04
           9        -5.303196e-01        -5.294050e-01         3.672524e-04
          10        -5.296445e-01        -5.294290e-01         3.313068e-04
          11        -5.296092e-01        -5.294454e-01         3.015926e-04
          12        -5.303318e-01        -5.295192e-01         2.853621e-04
          13        -5.312707e-01        -5.296540e-01         2.934981e-04
          14        -5.318656e-01        -5.298119e-01         3.121666e-04
          15        -5.307384e-01        -5.298737e-01         2.974034e-04
          16        -5.304361e-01        -5.299089e-01         2.808853e-04
          17        -5.293799e-01        -5.298777e-01         2.660806e-04
          18        -5.279777e-01        -5.297722e-01         2.714305e-04
          19        -5.298166e-01        -5.297745e-01         2.571547e-04
          20        -5.288157e-01        -5.297266e-01         2.487258e-04
