    # BLOCK:          ACTUAL_TE:              TE_AVE:              ERROR:
           1        -5.539497e-01        -5.539497e-01         0.000000e+00
           2        -5.602858e-01        -5.571178e-01         2.240143e-03
           3        -5.544336e-01        -5.562230e-01         1.662536e-03
           4        -5.562402e-01        -5.562273e-01         1.246908e-03
           5        -5.546438e-01        -5.559106e-01         1.036969e-03
           6        -5.561969e-01        -5.559583e-01         8.652374e-04
           7        -5.580388e-01        -5.562555e-01         7.910313e-04
           8        -5.565915e-01        -5.562975e-01         6.932662e-04
           9        -5.571438e-01        -5.563916e-01         6.225815e-04
          10        -5.551302e-01        -5.562654e-01         5.729593e-04
          11        -5.565841e-01        -5.562944e-01         5.216041e-04
          12        -5.578906e-01        -5.564274e-01         4.948082e-04
          13        -5.583469e-01        -5.565751e-01         4.782695e-04
          14        -5.581986e-01        -5.566910e-01         4.579510e-04
          15        -5.554752e-01        -5.566100e-01         4.345345e-04
          16        -5.565877e-01        -5.566086e-01         4.073783e-04
          17        -5.562906e-01        -5.565899e-01         3.838439e-04
          18        -5.575240e-01        -5.566418e-01         3.660103e-04
          19        -5.568268e-01        -5.566515e-01         3.468761e-04
          20        -5.559907e-01        -5.566185e-01         3.311023e-04
