    # BLOCK:          ACTUAL_TE:              TE_AVE:              ERROR:
           1        -6.154027e-01        -6.154027e-01         0.000000e+00
           2        -6.151948e-01        -6.152988e-01         7.349668e-05
           3        -6.147502e-01        -6.151159e-01         1.571286e-04
           4        -6.137691e-01        -6.147792e-01         3.145150e-04
           5        -6.174390e-01        -6.153112e-01         5.382226e-04
           6        -6.155639e-01        -6.153533e-01         4.501643e-04
           7        -6.165812e-01        -6.155287e-01         4.186414e-04
           8        -6.154516e-01        -6.155191e-01         3.664221e-04
           9        -6.136724e-01        -6.153139e-01         3.788288e-04
          10        -6.148710e-01        -6.152696e-01         3.435246e-04
          11        -6.146984e-01        -6.152177e-01         3.161955e-04
          12        -6.134536e-01        -6.150707e-01         3.222120e-04
          13        -6.166102e-01        -6.151891e-01         3.184466e-04
          14        -6.151129e-01        -6.151837e-01         2.957470e-04
          15        -6.142689e-01        -6.151227e-01         2.822477e-04
          16        -6.171027e-01        -6.152464e-01         2.904731e-04
          17        -6.160964e-01        -6.152964e-01         2.776562e-04
          18        -6.157528e-01        -6.153218e-01         2.633860e-04
          19        -6.160916e-01        -6.153623e-01         2.526210e-04
          20        -6.175487e-01        -6.154716e-01         2.625802e-04
