    # BLOCK:          ACTUAL_X:          X_AVE:              ERROR:
           1         8.470643e+02         8.470643e+02         0.000000e+00
           2         6.973300e+02         7.721971e+02         5.293905e+01
           3         7.862102e+02         7.768682e+02         3.549818e+01
           4         7.946413e+02         7.813114e+02         2.690027e+01
           5         7.214088e+02         7.693309e+02         2.404052e+01
           6         7.249880e+02         7.619404e+02         2.113925e+01
           7         7.368463e+02         7.583555e+02         1.842082e+01
           8         7.210785e+02         7.536959e+02         1.669715e+01
           9         6.751330e+02         7.449667e+02         1.697100e+01
          10         7.738065e+02         7.478507e+02         1.551702e+01
          11         8.028557e+02         7.528511e+02         1.489031e+01
          12         9.024450e+02         7.653173e+02         1.813180e+01
          13         6.578212e+02         7.570484e+02         1.852685e+01
          14         8.235340e+02         7.617973e+02         1.780175e+01
          15         7.073810e+02         7.581696e+02         1.698059e+01
          16         7.393307e+02         7.569922e+02         1.596007e+01
          17         7.746292e+02         7.580296e+02         1.505493e+01
          18         7.261722e+02         7.562598e+02         1.432220e+01
          19         7.022355e+02         7.534164e+02         1.384777e+01
          20         8.402698e+02         7.577591e+02         1.381955e+01
