    # BLOCK:          ACTUAL_X:          X_AVE:              ERROR:
           1         2.269741e+03         2.269741e+03         0.000000e+00
           2         2.248529e+03         2.259135e+03         7.499457e+00
           3         1.913104e+03         2.143791e+03         9.431028e+01
           4         2.288311e+03         2.179921e+03         7.734436e+01
           5         2.297708e+03         2.203479e+03         6.536463e+01
           6         2.114265e+03         2.188610e+03         5.613621e+01
           7         2.162975e+03         2.184948e+03         4.823606e+01
           8         2.650401e+03         2.243129e+03         6.887204e+01
           9         1.957588e+03         2.211402e+03         6.813652e+01
          10         2.396303e+03         2.229892e+03         6.378234e+01
          11         2.342894e+03         2.240165e+03         5.880540e+01
          12         2.387175e+03         2.252416e+03         5.516628e+01
          13         1.928428e+03         2.227494e+03         5.627129e+01
          14         2.085586e+03         2.217358e+03         5.315702e+01
          15         2.424792e+03         2.231187e+03         5.138056e+01
          16         2.144181e+03         2.225749e+03         4.845618e+01
          17         2.268019e+03         2.228235e+03         4.566957e+01
          18         2.349125e+03         2.234951e+03         4.362341e+01
          19         2.121157e+03         2.228962e+03         4.173655e+01
          20         2.355848e+03         2.235306e+03         4.012901e+01
