    # BLOCK:          ACTUAL_X:          X_AVE:              ERROR:
           1         3.777620e+02         3.777620e+02         0.000000e+00
           2         3.597168e+02         3.687394e+02         6.379942e+00
           3         3.822766e+02         3.732518e+02         5.627168e+00
           4         3.712110e+02         3.727416e+02         4.243442e+00
           5         3.402466e+02         3.662426e+02         6.731564e+00
           6         3.698988e+02         3.668520e+02         5.637150e+00
           7         3.832848e+02         3.691995e+02         5.298151e+00
           8         3.386474e+02         3.653805e+02         5.852620e+00
           9         3.959812e+02         3.687806e+02         6.110667e+00
          10         3.515812e+02         3.670606e+02         5.736547e+00
          11         3.679088e+02         3.671377e+02         5.215561e+00
          12         3.696652e+02         3.673484e+02         4.785182e+00
          13         3.595348e+02         3.667473e+02         4.454678e+00
          14         3.721794e+02         3.671353e+02         4.153350e+00
          15         3.293568e+02         3.646168e+02         4.576817e+00
          16         3.552610e+02         3.640320e+02         4.327958e+00
          17         3.574662e+02         3.636458e+02         4.090569e+00
          18         3.662486e+02         3.637904e+02         3.865870e+00
          19         3.589518e+02         3.635357e+02         3.670781e+00
          20         3.719818e+02         3.639580e+02         3.511450e+00
