    # BLOCK:          ACTUAL_X:          X_AVE:              ERROR:
           1         1.086674e+02         1.086674e+02         0.000000e+00
           2         1.122121e+02         1.104398e+02         1.253258e+00
           3         1.082731e+02         1.097175e+02         1.022640e+00
           4         1.094746e+02         1.096568e+02         7.687812e-01
           5         1.094557e+02         1.096166e+02         6.160757e-01
           6         1.069839e+02         1.091778e+02         6.511692e-01
           7         1.098836e+02         1.092786e+02         5.658977e-01
           8         1.041521e+02         1.086378e+02         7.774941e-01
           9         1.070201e+02         1.084581e+02         7.115797e-01
          10         1.089551e+02         1.085078e+02         6.421553e-01
          11         1.056325e+02         1.082464e+02         6.347515e-01
          12         1.081219e+02         1.082360e+02         5.819404e-01
          13         1.103355e+02         1.083975e+02         5.591361e-01
          14         1.044331e+02         1.081143e+02         5.865362e-01
          15         1.079211e+02         1.081015e+02         5.475752e-01
          16         1.077671e+02         1.080806e+02         5.137503e-01
          17         1.096183e+02         1.081710e+02         4.914277e-01
          18         1.123735e+02         1.084045e+02         5.166174e-01
          19         1.068456e+02         1.083224e+02         4.958992e-01
          20         1.114276e+02         1.084777e+02         4.948124e-01
