    # BLOCK:          ACTUAL_X:          X_AVE:              ERROR:
           1         1.552700e+02         1.552700e+02         0.000000e+00
           2         1.579917e+02         1.566309e+02         9.622713e-01
           3         1.602566e+02         1.578394e+02         1.176989e+00
           4         1.549210e+02         1.571098e+02         1.085577e+00
           5         1.473930e+02         1.551665e+02         1.943079e+00
           6         1.484880e+02         1.540534e+02         1.911639e+00
           7         1.544414e+02         1.541088e+02         1.639351e+00
           8         1.508884e+02         1.537063e+02         1.483033e+00
           9         1.585963e+02         1.542496e+02         1.414284e+00
          10         1.501941e+02         1.538441e+02         1.329730e+00
          11         1.555330e+02         1.539976e+02         1.217677e+00
          12         1.568701e+02         1.542370e+02         1.139491e+00
          13         1.551093e+02         1.543041e+02         1.053811e+00
          14         1.485306e+02         1.538917e+02         1.056153e+00
          15         1.492551e+02         1.535826e+02         1.029983e+00
          16         1.494087e+02         1.533217e+02         9.980973e-01
          17         1.563770e+02         1.535014e+02         9.554296e-01
          18         1.568414e+02         1.536870e+02         9.201922e-01
          19         1.472680e+02         1.533492e+02         9.317173e-01
          20         1.539117e+02         1.533773e+02         8.855559e-01
