    # BLOCK:          ACTUAL_X:          X_AVE:              ERROR:
           1         2.777063e+03         2.777063e+03         0.000000e+00
           2         3.119262e+03         2.948163e+03         1.209857e+02
           3         2.657551e+03         2.851292e+03         1.129668e+02
           4         2.710877e+03         2.816188e+03         9.001415e+01
           5         2.806043e+03         2.814159e+03         7.203418e+01
           6         2.469572e+03         2.756728e+03         7.969973e+01
           7         3.250205e+03         2.827225e+03         9.448079e+01
           8         2.920817e+03         2.838924e+03         8.339186e+01
           9         2.914336e+03         2.847303e+03         7.454588e+01
          10         2.839933e+03         2.846566e+03         6.709493e+01
          11         3.143353e+03         2.873547e+03         6.619831e+01
          12         2.878452e+03         2.873956e+03         6.068304e+01
          13         2.866461e+03         2.873379e+03         5.601786e+01
          14         2.728516e+03         2.863032e+03         5.296362e+01
          15         3.141282e+03         2.881582e+03         5.258096e+01
          16         2.762592e+03         2.874145e+03         4.981779e+01
          17         3.089163e+03         2.886793e+03         4.846635e+01
          18         2.945509e+03         2.890055e+03         4.588342e+01
          19         2.866669e+03         2.888824e+03         4.348500e+01
          20         2.964502e+03         2.892608e+03         4.147506e+01
