    # BLOCK:          ACTUAL_X:          X_AVE:              ERROR:
           1         6.760820e+01         6.760820e+01         0.000000e+00
           2         6.816710e+01         6.788765e+01         1.976010e-01
           3         6.822030e+01         6.799853e+01         1.598455e-01
           4         6.969320e+01         6.842220e+01         3.859952e-01
           5         6.787770e+01         6.831330e+01         3.237938e-01
           6         6.821710e+01         6.829727e+01         2.702248e-01
           7         6.911510e+01         6.841410e+01         2.556334e-01
           8         6.644260e+01         6.816766e+01         3.212046e-01
           9         6.872160e+01         6.822921e+01         2.913525e-01
          10         6.778430e+01         6.818472e+01         2.655925e-01
          11         6.904750e+01         6.826315e+01         2.527642e-01
          12         6.874880e+01         6.830362e+01         2.349180e-01
          13         7.064890e+01         6.848403e+01         2.776067e-01
          14         6.708970e+01         6.838444e+01         2.750636e-01
          15         6.815490e+01         6.836913e+01         2.571513e-01
          16         6.701400e+01         6.828444e+01         2.546455e-01
          17         6.745300e+01         6.823553e+01         2.443179e-01
          18         7.050680e+01         6.836171e+01         2.613052e-01
          19         6.830480e+01         6.835872e+01         2.475694e-01
          20         6.978750e+01         6.843015e+01         2.452818e-01
