    # BLOCK:          ACTUAL_X:          X_AVE:              ERROR:
           1         4.477794e+03         4.477794e+03         0.000000e+00
           2         4.644978e+03         4.561386e+03         5.910847e+01
           3         4.445123e+03         4.522631e+03         5.053778e+01
           4         4.543200e+03         4.527774e+03         3.816405e+01
           5         4.488684e+03         4.519956e+03         3.132176e+01
           6         4.520333e+03         4.520019e+03         2.610153e+01
           7         4.625007e+03         4.535017e+03         2.633160e+01
           8         4.594770e+03         4.542486e+03         2.407621e+01
           9         4.586616e+03         4.547389e+03         2.189469e+01
          10         4.242696e+03         4.516920e+03         3.498338e+01
          11         4.589828e+03         4.523548e+03         3.242486e+01
          12         4.404891e+03         4.513660e+03         3.119409e+01
          13         4.081090e+03         4.480385e+03         4.302505e+01
          14         4.471767e+03         4.479770e+03         3.995623e+01
          15         4.481776e+03         4.479904e+03         3.729271e+01
          16         4.569547e+03         4.485506e+03         3.538027e+01
          17         4.502552e+03         4.486509e+03         3.331329e+01
          18         4.508933e+03         4.487755e+03         3.148583e+01
          19         4.382363e+03         4.482208e+03         3.031336e+01
          20         4.640017e+03         4.490098e+03         2.980694e+01
