    # BLOCK:          ACTUAL_P:          P_AVE:              ERROR:
         118         7.502003e+00         7.587506e+00         4.064284e-03
         119         7.563705e+00         7.587306e+00         4.035049e-03
         120         7.590622e+00         7.587333e+00         4.001518e-03
         121         7.607503e+00         7.587500e+00         3.971918e-03
         122         7.588404e+00         7.587507e+00         3.939368e-03
         123         7.553891e+00         7.587234e+00         3.916810e-03
         124         7.587925e+00         7.587240e+00         3.885226e-03
         125         7.554236e+00         7.586976e+00         3.863106e-03
         126         7.618910e+00         7.587229e+00         3.840751e-03
         127         7.560343e+00         7.587017e+00         3.816339e-03
         128         7.576655e+00         7.586936e+00         3.787383e-03
         129         7.622263e+00         7.587210e+00         3.767911e-03
         130         7.608504e+00         7.587374e+00         3.742486e-03
         131         7.540621e+00         7.587017e+00         3.730896e-03
         132         7.577946e+00         7.586948e+00         3.703264e-03
         133         7.571804e+00         7.586835e+00         3.677170e-03
         134         7.625392e+00         7.587122e+00         3.660970e-03
         135         7.662316e+00         7.587679e+00         3.675978e-03
         136         7.582332e+00         7.587640e+00         3.649160e-03
         137         7.546067e+00         7.587337e+00         3.635118e-03
         138         7.625629e+00         7.587614e+00         3.619352e-03
         139         7.546005e+00         7.587315e+00         3.605671e-03
         140         7.625220e+00         7.587585e+00         3.590067e-03
         141         7.547044e+00         7.587298e+00         3.576101e-03
         142         7.645902e+00         7.587711e+00         3.574652e-03
         143         7.670108e+00         7.588287e+00         3.595795e-03
         144         7.644177e+00         7.588675e+00         3.591710e-03
         145         7.603513e+00         7.588777e+00         3.568397e-03
         146         7.616794e+00         7.588969e+00         3.549112e-03
         147         7.591007e+00         7.588983e+00         3.524995e-03
         148         7.715052e+00         7.589835e+00         3.602629e-03
         149         7.548687e+00         7.589559e+00         3.589019e-03
         150         7.599902e+00         7.589628e+00         3.565755e-03
         151         7.627581e+00         7.589879e+00         3.550988e-03
         152         7.733108e+00         7.590821e+00         3.650510e-03
         153         7.623128e+00         7.591032e+00         3.632752e-03
