    # BLOCK:          DISTANCE:          ACTUAL_GOFR:          AVE_GOFR:              ERROR:
           1         2.087512e+00         5.783722e-01         5.783722e-01         0.000000e+00
           1         2.110578e+00         7.533420e-01         7.533420e-01         0.000000e+00
           1         2.133645e+00         9.101671e-01         9.101671e-01         0.000000e+00
           1         2.156711e+00         9.996561e-01         9.996561e-01         0.000000e+00
           1         2.179778e+00         1.010302e+00         1.010302e+00         0.000000e+00
           1         2.202844e+00         9.160052e-01         9.160052e-01         0.000000e+00
           1         2.225910e+00         7.798549e-01         7.798549e-01         0.000000e+00
           1         2.248977e+00         6.518500e-01         6.518500e-01         0.000000e+00
           1         2.272043e+00         5.721066e-01         5.721066e-01         0.000000e+00
           1         2.295110e+00         5.695582e-01         5.695582e-01         0.000000e+00
           2         1.153321e-02         0.000000e+00         0.000000e+00         0.000000e+00
           2         3.459964e-02         0.000000e+00         0.000000e+00         0.000000e+00
           2         5.766607e-02         0.000000e+00         0.000000e+00         0.000000e+00
           2         8.073250e-02         0.000000e+00         0.000000e+00         0.000000e+00
           2         1.037989e-01         0.000000e+00         0.000000e+00         0.000000e+00
           2         1.268654e-01         0.000000e+00         0.000000e+00         0.000000e+00
           2         1.499318e-01         0.000000e+00         0.000000e+00         0.000000e+00
           2         1.729982e-01         0.000000e+00         0.000000e+00         0.000000e+00
           2         1.960646e-01         0.000000e+00         0.000000e+00         0.000000e+00
           2         2.191311e-01         0.000000e+00         0.000000e+00         0.000000e+00
           2         2.421975e-01         0.000000e+00         0.000000e+00         0.000000e+00
           2         2.652639e-01         0.000000e+00         0.000000e+00         0.000000e+00
           2         2.883304e-01         0.000000e+00         0.000000e+00         0.000000e+00
           2         3.113968e-01         0.000000e+00         0.000000e+00         0.000000e+00
           2         3.344632e-01         0.000000e+00         0.000000e+00         0.000000e+00
           2         3.575296e-01         0.000000e+00         0.000000e+00         0.000000e+00
           2         3.805961e-01         0.000000e+00         0.000000e+00         0.000000e+00
           2         4.036625e-01         0.000000e+00         0.000000e+00         0.000000e+00
           2         4.267289e-01         0.000000e+00         0.000000e+00         0.000000e+00
           2         4.497954e-01         0.000000e+00         0.000000e+00         0.000000e+00
           2         4.728618e-01         0.000000e+00         0.000000e+00         0.000000e+00
           2         4.959282e-01         0.000000e+00         0.000000e+00         0.000000e+00
           2         5.189946e-01         0.000000e+00         0.000000e+00         0.000000e+00
           2         5.420611e-01         0.000000e+00         0.000000e+00         0.000000e+00
           2         5.651275e-01         0.000000e+00         0.000000e+00         0.000000e+00
           2         5.881939e-01         0.000000e+00         0.000000e+00         0.000000e+00
           2         6.112604e-01         0.000000e+00         0.000000e+00         0.000000e+00
           2         6.343268e-01         0.000000e+00         0.000000e+00         0.000000e+00
           2         6.573932e-01         0.000000e+00         0.000000e+00         0.000000e+00
           2         6.804596e-01         0.000000e+00         0.000000e+00         0.000000e+00
           2         7.035261e-01         0.000000e+00         0.000000e+00         0.000000e+00
           2         7.265925e-01         0.000000e+00         0.000000e+00         0.000000e+00
           2         7.496589e-01         0.000000e+00         0.000000e+00         0.000000e+00
           2         7.727254e-01         0.000000e+00         0.000000e+00         0.000000e+00
           2         7.957918e-01         0.000000e+00         0.000000e+00         0.000000e+00
           2         8.188582e-01         0.000000e+00         0.000000e+00         0.000000e+00
           2         8.419247e-01         0.000000e+00         0.000000e+00         0.000000e+00
           2         8.649911e-01         0.000000e+00         0.000000e+00         0.000000e+00
           2         8.880575e-01         3.588224e-05         5.382337e-05         1.268629e-05
           2         9.111239e-01         3.274623e-03         3.206401e-03         4.823975e-05
           2         9.341904e-01         4.292149e-02         4.418771e-02         8.953503e-04
           2         9.572568e-01         3.019387e-01         2.960293e-01         4.178610e-03
           2         9.803232e-01         9.899205e-01         9.830135e-01         4.884015e-03
           2         1.003390e+00         2.215070e+00         2.188359e+00         1.888743e-02
           2         1.026456e+00         3.553341e+00         3.548827e+00         3.192196e-03
           2         1.049523e+00         4.500548e+00         4.519880e+00         1.366962e-02
           2         1.072589e+00         4.779080e+00         4.796660e+00         1.243027e-02
           2         1.095655e+00         4.371705e+00         4.373588e+00         1.331639e-03
           2         1.118722e+00         3.577438e+00         3.584065e+00         4.685424e-03
           2         1.141788e+00         2.617870e+00         2.628021e+00         7.178209e-03
           2         1.164855e+00         1.795959e+00         1.796882e+00         6.528539e-04
           2         1.187921e+00         1.117945e+00         1.113928e+00         2.840211e-03
           2         1.210988e+00         6.421932e-01         6.432716e-01         7.625108e-04
           2         1.234054e+00         3.481521e-01         3.448392e-01         2.342561e-03
           2         1.257120e+00         1.793779e-01         1.774474e-01         1.365099e-03
           2         1.280187e+00         9.137015e-02         8.821135e-02         2.233606e-03
           2         1.303253e+00         5.284823e-02         4.973210e-02         2.203437e-03
           2         1.326320e+00         4.369203e-02         4.224807e-02         1.021036e-03
           2         1.349386e+00         5.940771e-02         6.099913e-02         1.125302e-03
           2         1.372453e+00         1.040178e-01         1.061857e-01         1.532996e-03
           2         1.395519e+00         1.793425e-01         1.838381e-01         3.178913e-03
           2         1.418585e+00         2.939640e-01         2.937439e-01         1.556168e-04
           2         1.441652e+00         4.467508e-01         4.462627e-01         3.451880e-04
           2         1.464718e+00         6.168228e-01         6.140512e-01         1.959802e-03
           2         1.487785e+00         7.869424e-01         7.873171e-01         2.648990e-04
           2         1.510851e+00         9.041469e-01         9.022173e-01         1.364401e-03
           2         1.533918e+00         9.629906e-01         9.603401e-01         1.874202e-03
           2         1.556984e+00         9.162622e-01         9.148458e-01         1.001551e-03
           2         1.580050e+00         7.921339e-01         7.900589e-01         1.467204e-03
           2         1.603117e+00         6.294736e-01         6.302366e-01         5.395165e-04
           2         1.626183e+00         4.590438e-01         4.573439e-01         1.201969e-03
           2         1.649250e+00         3.138714e-01         3.161245e-01         1.593160e-03
           2         1.672316e+00         2.205284e-01         2.191304e-01         9.885480e-04
           2         1.695383e+00         1.941065e-01         1.937826e-01         2.290503e-04
           2         1.718449e+00         2.575453e-01         2.527230e-01         3.409927e-03
           2         1.741515e+00         4.352532e-01         4.308640e-01         3.103630e-03
           2         1.764582e+00         7.392345e-01         7.373612e-01         1.324630e-03
           2         1.787648e+00         1.187527e+00         1.183669e+00         2.727664e-03
           2         1.810715e+00         1.701101e+00         1.704127e+00         2.139606e-03
           2         1.833781e+00         2.209229e+00         2.210039e+00         5.728694e-04
           2         1.856848e+00         2.553892e+00         2.562344e+00         5.976346e-03
           2         1.879914e+00         2.664389e+00         2.672624e+00         5.822863e-03
           2         1.902980e+00         2.537288e+00         2.531378e+00         4.179218e-03
