    # BLOCK:          ACTUAL_CV:          CV_AVE:              ERROR:
           1         9.757882e+00         9.757882e+00         0.000000e+00
           2         9.841268e+00         9.799575e+00         2.948171e-02
           3         1.004743e+01         9.882194e+00         7.026310e-02
           4         9.867798e+00         9.878595e+00         5.278943e-02
           5         9.797826e+00         9.862441e+00         4.463474e-02
           6         9.623800e+00         9.822668e+00         5.197878e-02
           7         9.863816e+00         9.828546e+00         4.488440e-02
           8         9.889158e+00         9.836122e+00         3.990819e-02
           9         9.825155e+00         9.834904e+00         3.549255e-02
          10         9.739411e+00         9.825355e+00         3.320306e-02
          11         9.932478e+00         9.835093e+00         3.158049e-02
          12         9.885156e+00         9.839265e+00         2.922305e-02
          13         9.757680e+00         9.832989e+00         2.764079e-02
          14         9.696848e+00         9.823265e+00         2.732353e-02
          15         9.901244e+00         9.828463e+00         2.599180e-02
          16         9.863973e+00         9.830683e+00         2.446188e-02
          17         9.951757e+00         9.837805e+00         2.403738e-02
          18         9.778767e+00         9.834525e+00         2.292464e-02
          19         9.835248e+00         9.834563e+00         2.171811e-02
          20         9.852627e+00         9.835466e+00         2.065098e-02
