    # BLOCK:          ACTUAL_CV:          CV_AVE:              ERROR:
           1         1.590273e+01         1.590273e+01         0.000000e+00
           2         1.611650e+01         1.600962e+01         7.558233e-02
           3         1.584497e+01         1.595473e+01         6.743176e-02
           4         1.590641e+01         1.594265e+01         5.164465e-02
           5         1.575753e+01         1.590563e+01         5.294945e-02
           6         1.604212e+01         1.592838e+01         4.876727e-02
           7         1.583953e+01         1.591568e+01         4.342092e-02
           8         1.609122e+01         1.593763e+01         4.318316e-02
           9         1.562915e+01         1.590335e+01         5.017664e-02
          10         1.567398e+01         1.588041e+01         5.012814e-02
          11         1.578215e+01         1.587148e+01         4.636017e-02
          12         1.604258e+01         1.588574e+01         4.463568e-02
          13         1.554024e+01         1.585916e+01         4.847265e-02
          14         1.568582e+01         1.584678e+01         4.656485e-02
          15         1.599328e+01         1.585655e+01         4.447297e-02
          16         1.576392e+01         1.585076e+01         4.206856e-02
          17         1.624433e+01         1.587391e+01         4.552066e-02
          18         1.588454e+01         1.587450e+01         4.299556e-02
          19         1.615960e+01         1.588951e+01         4.327196e-02
          20         1.591683e+01         1.589087e+01         4.112992e-02
