    # BLOCK:          ACTUAL_CV:          CV_AVE:              ERROR:
           1         2.169863e+01         2.169863e+01         0.000000e+00
           2         2.038719e+01         2.104291e+01         4.636628e-01
           3         2.051395e+01         2.086659e+01         3.409893e-01
           4         2.150405e+01         2.102596e+01         2.906058e-01
           5         2.127054e+01         2.107487e+01         2.365658e-01
           6         2.165968e+01         2.117234e+01         2.162870e-01
           7         2.234082e+01         2.133927e+01         2.413555e-01
           8         2.058378e+01         2.124483e+01         2.289170e-01
           9         2.114608e+01         2.123386e+01         2.037446e-01
          10         2.132053e+01         2.124252e+01         1.835544e-01
          11         2.116882e+01         2.123582e+01         1.669898e-01
          12         2.063820e+01         2.118602e+01         1.603285e-01
          13         2.080089e+01         2.115640e+01         1.507079e-01
          14         2.187551e+01         2.120776e+01         1.484385e-01
          15         2.041621e+01         2.115499e+01         1.476248e-01
          16         1.971700e+01         2.106512e+01         1.634830e-01
          17         2.264769e+01         2.115821e+01         1.784132e-01
          18         2.190661e+01         2.119979e+01         1.732784e-01
          19         2.123250e+01         2.120151e+01         1.641670e-01
          20         2.120391e+01         2.120163e+01         1.559587e-01
