    # BLOCK:          ACTUAL_CV:          CV_AVE:              ERROR:
           1         1.138611e+01         1.138611e+01         0.000000e+00
           2         1.146512e+01         1.142562e+01         2.793464e-02
           3         1.150806e+01         1.145310e+01         2.915965e-02
           4         1.136117e+01         1.143012e+01         2.956982e-02
           5         1.147736e+01         1.143956e+01         2.512046e-02
           6         1.143590e+01         1.143895e+01         2.094114e-02
           7         1.171336e+01         1.147815e+01         4.048878e-02
           8         1.155787e+01         1.148812e+01         3.663337e-02
           9         1.148633e+01         1.148792e+01         3.256353e-02
          10         1.127179e+01         1.146631e+01         3.576747e-02
          11         1.147869e+01         1.146743e+01         3.253358e-02
          12         1.138172e+01         1.146029e+01         3.059655e-02
          13         1.128102e+01         1.144650e+01         3.119623e-02
          14         1.134129e+01         1.143898e+01         2.985940e-02
          15         1.147302e+01         1.144125e+01         2.795487e-02
          16         1.155879e+01         1.144860e+01         2.715571e-02
          17         1.161407e+01         1.145833e+01         2.724692e-02
          18         1.126287e+01         1.144747e+01         2.781301e-02
          19         1.148314e+01         1.144935e+01         2.641242e-02
          20         1.166684e+01         1.146023e+01         2.723854e-02
