    # BLOCK:          ACTUAL_P:          P_AVE:              ERROR:
           1         1.423461e+00         1.423461e+00         0.000000e+00
           2         1.440817e+00         1.432139e+00         6.136272e-03
           3         1.518112e+00         1.460797e+00         2.375368e-02
           4         1.445388e+00         1.456945e+00         1.812491e-02
           5         1.425959e+00         1.450748e+00         1.552323e-02
           6         1.450135e+00         1.450646e+00         1.293636e-02
           7         1.426695e+00         1.447224e+00         1.153190e-02
           8         1.423029e+00         1.444200e+00         1.047952e-02
           9         1.323227e+00         1.430758e+00         1.572796e-02
          10         1.477375e+00         1.435420e+00         1.482994e-02
          11         1.408824e+00         1.433002e+00         1.367745e-02
          12         1.502359e+00         1.438782e+00         1.370455e-02
          13         1.307020e+00         1.428646e+00         1.596427e-02
          14         1.347291e+00         1.422835e+00         1.584634e-02
          15         1.453466e+00         1.424877e+00         1.492091e-02
          16         1.391461e+00         1.422789e+00         1.413376e-02
          17         1.326711e+00         1.417137e+00         1.438801e-02
          18         1.437292e+00         1.418257e+00         1.363217e-02
          19         1.404809e+00         1.417549e+00         1.293305e-02
          20         1.396315e+00         1.416487e+00         1.232990e-02
          21         1.379813e+00         1.414741e+00         1.186580e-02
          22         1.418061e+00         1.414892e+00         1.132740e-02
          23         1.490446e+00         1.418177e+00         1.130120e-02
          24         1.284361e+00         1.412601e+00         1.212800e-02
          25         1.353585e+00         1.410241e+00         1.187040e-02
          26         1.293940e+00         1.405767e+00         1.222763e-02
          27         1.362198e+00         1.404154e+00         1.188076e-02
          28         1.389191e+00         1.403619e+00         1.146846e-02
          29         1.404756e+00         1.403659e+00         1.107306e-02
          30         1.414098e+00         1.404007e+00         1.070942e-02
          31         1.414494e+00         1.404345e+00         1.036930e-02
          32         1.444800e+00         1.405609e+00         1.012203e-02
          33         1.376278e+00         1.404720e+00         9.854253e-03
          34         1.245502e+00         1.400037e+00         1.061898e-02
          35         1.433948e+00         1.401006e+00         1.035969e-02
          36         1.338673e+00         1.399275e+00         1.021559e-02
          37         1.373348e+00         1.398574e+00         9.963493e-03
          38         1.418127e+00         1.399089e+00         9.714573e-03
          39         1.511962e+00         1.401983e+00         9.887207e-03
          40         1.433017e+00         1.402759e+00         9.670421e-03
          41         1.235094e+00         1.398669e+00         1.026285e-02
          42         1.483271e+00         1.400684e+00         1.021426e-02
          43         1.363837e+00         1.399827e+00         1.001260e-02
          44         1.464200e+00         1.401290e+00         9.891350e-03
          45         1.393395e+00         1.401114e+00         9.673098e-03
          46         1.413978e+00         1.401394e+00         9.466854e-03
          47         1.356974e+00         1.400449e+00         9.312488e-03
          48         1.418895e+00         1.400833e+00         9.126405e-03
          49         1.490856e+00         1.402670e+00         9.123198e-03
          50         1.363779e+00         1.401892e+00         8.973830e-03
          51         1.316498e+00         1.400218e+00         8.952719e-03
          52         1.587158e+00         1.403813e+00         9.474889e-03
          53         1.444858e+00         1.404588e+00         9.327712e-03
          54         1.430377e+00         1.405065e+00         9.167195e-03
          55         1.444865e+00         1.405789e+00         9.029035e-03
          56         1.354968e+00         1.404881e+00         8.913293e-03
          57         1.427164e+00         1.405272e+00         8.765488e-03
          58         1.461438e+00         1.406241e+00         8.667684e-03
          59         1.405007e+00         1.406220e+00         8.520800e-03
          60         1.433642e+00         1.406677e+00         8.391034e-03
          61         1.371052e+00         1.406093e+00         8.273775e-03
          62         1.485939e+00         1.407380e+00         8.239947e-03
          63         1.461380e+00         1.408238e+00         8.153613e-03
          64         1.512922e+00         1.409873e+00         8.188637e-03
          65         1.499078e+00         1.411246e+00         8.176853e-03
          66         1.295495e+00         1.409492e+00         8.238895e-03
          67         1.377769e+00         1.409018e+00         8.129520e-03
          68         1.332839e+00         1.407898e+00         8.086790e-03
          69         1.380553e+00         1.407502e+00         7.979295e-03
          70         1.435296e+00         1.407899e+00         7.875178e-03
          71         1.341724e+00         1.406967e+00         7.819220e-03
          72         1.371427e+00         1.406473e+00         7.726184e-03
          73         1.515230e+00         1.407963e+00         7.762657e-03
          74         1.407980e+00         1.407963e+00         7.657756e-03
          75         1.366083e+00         1.407405e+00         7.575984e-03
          76         1.488173e+00         1.408468e+00         7.550472e-03
          77         1.357303e+00         1.407803e+00         7.481596e-03
          78         1.299923e+00         1.406420e+00         7.512430e-03
          79         1.312238e+00         1.405228e+00         7.511336e-03
          80         1.259112e+00         1.403401e+00         7.636275e-03
          81         1.381672e+00         1.403133e+00         7.546710e-03
          82         1.392228e+00         1.403000e+00         7.455849e-03
          83         1.382226e+00         1.402750e+00         7.370219e-03
          84         1.427767e+00         1.403048e+00         7.288493e-03
          85         1.298366e+00         1.401816e+00         7.306054e-03
          86         1.451536e+00         1.402394e+00         7.243939e-03
          87         1.337230e+00         1.401645e+00         7.199295e-03
          88         1.425336e+00         1.401915e+00         7.122517e-03
          89         1.345196e+00         1.401277e+00         7.070941e-03
          90         1.464052e+00         1.401975e+00         7.026693e-03
          91         1.434785e+00         1.402335e+00         6.958720e-03
          92         1.374692e+00         1.402035e+00         6.889566e-03
          93         1.327157e+00         1.401230e+00         6.862369e-03
          94         1.452816e+00         1.401778e+00         6.811273e-03
          95         1.428302e+00         1.402058e+00         6.745295e-03
          96         1.406755e+00         1.402107e+00         6.675209e-03
          97         1.421093e+00         1.402302e+00         6.609261e-03
          98         1.360700e+00         1.401878e+00         6.555439e-03
          99         1.537481e+00         1.403248e+00         6.630777e-03
         100         1.518444e+00         1.404399e+00         6.663783e-03
         101         1.553451e+00         1.405875e+00         6.759239e-03
         102         1.394363e+00         1.405762e+00         6.693914e-03
         103         1.383875e+00         1.405550e+00         6.632297e-03
         104         1.347979e+00         1.404996e+00         6.591586e-03
         105         1.433705e+00         1.405270e+00         6.534477e-03
         106         1.452826e+00         1.405718e+00         6.488214e-03
         107         1.373751e+00         1.405420e+00         6.434452e-03
         108         1.428880e+00         1.405637e+00         6.378539e-03
         109         1.433429e+00         1.405892e+00         6.325114e-03
         110         1.424383e+00         1.406060e+00         6.269847e-03
         111         1.421718e+00         1.406201e+00         6.214948e-03
         112         1.375356e+00         1.405926e+00         6.165556e-03
         113         1.281378e+00         1.404823e+00         6.208730e-03
         114         1.358285e+00         1.404415e+00         6.167674e-03
         115         1.473009e+00         1.405012e+00         6.142816e-03
         116         1.258807e+00         1.403751e+00         6.217819e-03
         117         1.382618e+00         1.403571e+00         6.167298e-03
         118         1.361015e+00         1.403210e+00         6.125569e-03
         119         1.453928e+00         1.403636e+00         6.088902e-03
         120         1.367146e+00         1.403332e+00         6.045749e-03
         121         1.405843e+00         1.403353e+00         5.995820e-03
         122         1.464716e+00         1.403856e+00         5.967733e-03
         123         1.260619e+00         1.402691e+00         6.031767e-03
         124         1.397952e+00         1.402653e+00         5.983245e-03
         125         1.570650e+00         1.403997e+00         6.084451e-03
         126         1.388624e+00         1.403875e+00         6.037384e-03
         127         1.364875e+00         1.403568e+00         5.997651e-03
