    # BLOCK:          ACTUAL_PE:              PE_AVE:              ERROR:
           1        -5.461479e+00        -5.461479e+00         0.000000e+00
           2        -5.457989e+00        -5.459734e+00         1.233920e-03
           3        -5.445092e+00        -5.454853e+00         4.068909e-03
           4        -5.457652e+00        -5.455553e+00         3.111275e-03
           5        -5.454195e+00        -5.455281e+00         2.500846e-03
           6        -5.453363e+00        -5.454962e+00         2.104390e-03
           7        -5.454637e+00        -5.454915e+00         1.804274e-03
           8        -5.452982e+00        -5.454674e+00         1.594835e-03
           9        -5.479864e+00        -5.457473e+00         2.995538e-03
          10        -5.449659e+00        -5.456691e+00         2.796038e-03
          11        -5.464394e+00        -5.457391e+00         2.628089e-03
          12        -5.438441e+00        -5.455812e+00         2.844227e-03
          13        -5.477010e+00        -5.457443e+00         3.057312e-03
          14        -5.478926e+00        -5.458977e+00         3.200937e-03
          15        -5.453043e+00        -5.458582e+00         3.011891e-03
          16        -5.470824e+00        -5.459347e+00         2.919217e-03
          17        -5.483183e+00        -5.460749e+00         3.065777e-03
          18        -5.452839e+00        -5.460310e+00         2.926777e-03
          19        -5.462904e+00        -5.460446e+00         2.775920e-03
          20        -5.459866e+00        -5.460417e+00         2.637276e-03
          21        -5.462803e+00        -5.460531e+00         2.514138e-03
          22        -5.465930e+00        -5.460776e+00         2.411807e-03
          23        -5.446619e+00        -5.460161e+00         2.384197e-03
          24        -5.484493e+00        -5.461174e+00         2.491112e-03
          25        -5.470660e+00        -5.461554e+00         2.420190e-03
          26        -5.481908e+00        -5.462337e+00         2.450446e-03
          27        -5.471014e+00        -5.462658e+00         2.380670e-03
          28        -5.465758e+00        -5.462769e+00         2.298219e-03
          29        -5.464416e+00        -5.462826e+00         2.219672e-03
          30        -5.468796e+00        -5.463025e+00         2.154586e-03
          31        -5.463741e+00        -5.463048e+00         2.085207e-03
          32        -5.458206e+00        -5.462896e+00         2.025526e-03
          33        -5.468767e+00        -5.463074e+00         1.971942e-03
          34        -5.489382e+00        -5.463848e+00         2.060165e-03
          35        -5.458149e+00        -5.463685e+00         2.007727e-03
          36        -5.475144e+00        -5.464004e+00         1.977028e-03
          37        -5.467713e+00        -5.464104e+00         1.926135e-03
          38        -5.459273e+00        -5.463977e+00         1.879638e-03
          39        -5.443316e+00        -5.463447e+00         1.904633e-03
          40        -5.461570e+00        -5.463400e+00         1.857595e-03
          41        -5.496936e+00        -5.464218e+00         1.984218e-03
          42        -5.449707e+00        -5.463872e+00         1.966824e-03
          43        -5.470226e+00        -5.464020e+00         1.926626e-03
          44        -5.456475e+00        -5.463849e+00         1.890455e-03
          45        -5.465184e+00        -5.463878e+00         1.848678e-03
          46        -5.459459e+00        -5.463782e+00         1.810984e-03
          47        -5.472660e+00        -5.463971e+00         1.782276e-03
          48        -5.459636e+00        -5.463881e+00         1.747432e-03
          49        -5.440422e+00        -5.463402e+00         1.776141e-03
          50        -5.475633e+00        -5.463647e+00         1.757383e-03
          51        -5.479687e+00        -5.463961e+00         1.750841e-03
          52        -5.432499e+00        -5.463356e+00         1.818711e-03
          53        -5.459191e+00        -5.463278e+00         1.786093e-03
          54        -5.455929e+00        -5.463142e+00         1.758194e-03
          55        -5.452058e+00        -5.462940e+00         1.737738e-03
          56        -5.466892e+00        -5.463011e+00         1.708139e-03
          57        -5.458959e+00        -5.462940e+00         1.679650e-03
          58        -5.453291e+00        -5.462773e+00         1.658909e-03
          59        -5.459678e+00        -5.462721e+00         1.631621e-03
          60        -5.458252e+00        -5.462646e+00         1.606126e-03
          61        -5.473827e+00        -5.462830e+00         1.590220e-03
          62        -5.441624e+00        -5.462488e+00         1.600932e-03
          63        -5.451460e+00        -5.462312e+00         1.585060e-03
          64        -5.451290e+00        -5.462140e+00         1.569623e-03
          65        -5.446139e+00        -5.461894e+00         1.564660e-03
          66        -5.484232e+00        -5.462233e+00         1.577134e-03
          67        -5.458812e+00        -5.462181e+00         1.554421e-03
          68        -5.474186e+00        -5.462358e+00         1.541554e-03
          69        -5.467906e+00        -5.462438e+00         1.521308e-03
          70        -5.456912e+00        -5.462359e+00         1.501622e-03
          71        -5.477526e+00        -5.462573e+00         1.495590e-03
          72        -5.468764e+00        -5.462659e+00         1.477288e-03
          73        -5.437404e+00        -5.462313e+00         1.497013e-03
          74        -5.459073e+00        -5.462269e+00         1.477423e-03
          75        -5.467494e+00        -5.462339e+00         1.459365e-03
          76        -5.446857e+00        -5.462135e+00         1.454311e-03
          77        -5.472833e+00        -5.462274e+00         1.442046e-03
          78        -5.481310e+00        -5.462518e+00         1.444062e-03
          79        -5.482981e+00        -5.462777e+00         1.448828e-03
          80        -5.489081e+00        -5.463106e+00         1.467552e-03
          81        -5.465465e+00        -5.463135e+00         1.449723e-03
          82        -5.466334e+00        -5.463174e+00         1.432568e-03
          83        -5.470093e+00        -5.463258e+00         1.417732e-03
          84        -5.458884e+00        -5.463206e+00         1.401809e-03
          85        -5.486097e+00        -5.463475e+00         1.410951e-03
          86        -5.454366e+00        -5.463369e+00         1.398515e-03
          87        -5.477768e+00        -5.463534e+00         1.392199e-03
          88        -5.461443e+00        -5.463511e+00         1.376581e-03
          89        -5.473633e+00        -5.463624e+00         1.365804e-03
          90        -5.451359e+00        -5.463488e+00         1.357410e-03
          91        -5.455650e+00        -5.463402e+00         1.345224e-03
          92        -5.468817e+00        -5.463461e+00         1.331889e-03
          93        -5.480911e+00        -5.463648e+00         1.330718e-03
          94        -5.453389e+00        -5.463539e+00         1.321030e-03
          95        -5.459409e+00        -5.463496e+00         1.307840e-03
          96        -5.463761e+00        -5.463499e+00         1.294220e-03
          97        -5.461782e+00        -5.463481e+00         1.280998e-03
          98        -5.473196e+00        -5.463580e+00         1.271757e-03
          99        -5.442943e+00        -5.463372e+00         1.275881e-03
         100        -5.446066e+00        -5.463199e+00         1.274805e-03
         101        -5.436023e+00        -5.462929e+00         1.290266e-03
         102        -5.468239e+00        -5.462982e+00         1.278666e-03
         103        -5.466231e+00        -5.463013e+00         1.266641e-03
         104        -5.470686e+00        -5.463087e+00         1.256608e-03
         105        -5.451942e+00        -5.462981e+00         1.249115e-03
         106        -5.451803e+00        -5.462875e+00         1.241774e-03
         107        -5.473109e+00        -5.462971e+00         1.233847e-03
         108        -5.458000e+00        -5.462925e+00         1.223280e-03
         109        -5.453957e+00        -5.462843e+00         1.214821e-03
         110        -5.456526e+00        -5.462785e+00         1.205133e-03
         111        -5.461596e+00        -5.462774e+00         1.194324e-03
         112        -5.475471e+00        -5.462888e+00         1.189028e-03
         113        -5.483684e+00        -5.463072e+00         1.192663e-03
         114        -5.467860e+00        -5.463114e+00         1.182940e-03
         115        -5.448863e+00        -5.462990e+00         1.179127e-03
         116        -5.490852e+00        -5.463230e+00         1.193175e-03
         117        -5.466330e+00        -5.463257e+00         1.183271e-03
         118        -5.474602e+00        -5.463353e+00         1.177143e-03
         119        -5.452914e+00        -5.463265e+00         1.170515e-03
         120        -5.472843e+00        -5.463345e+00         1.163479e-03
         121        -5.462401e+00        -5.463337e+00         1.153889e-03
         122        -5.454366e+00        -5.463264e+00         1.146772e-03
         123        -5.489493e+00        -5.463477e+00         1.157105e-03
         124        -5.460536e+00        -5.463453e+00         1.148017e-03
         125        -5.433366e+00        -5.463212e+00         1.163791e-03
         126        -5.472128e+00        -5.463283e+00         1.156704e-03
         127        -5.470589e+00        -5.463341e+00         1.149026e-03
         128        -5.456705e+00        -5.463289e+00         1.141218e-03
         129        -5.475594e+00        -5.463384e+00         1.136351e-03
         130        -5.459360e+00        -5.463353e+00         1.128031e-03
         131        -5.478124e+00        -5.463466e+00         1.125041e-03
         132        -5.487791e+00        -5.463650e+00         1.131510e-03
         133        -5.457243e+00        -5.463602e+00         1.124028e-03
         134        -5.482611e+00        -5.463744e+00         1.124555e-03
         135        -5.458445e+00        -5.463705e+00         1.116910e-03
         136        -5.466040e+00        -5.463722e+00         1.108829e-03
         137        -5.474944e+00        -5.463804e+00         1.103757e-03
