    # BLOCK:          ACTUAL_M:          M_AVE:              ERROR:
           1         1.976400e+00         1.976400e+00         0.000000e+00
           2        -4.408000e-01         7.678000e-01         8.546093e-01
           3        -6.830000e-01         2.842000e-01         6.931924e-01
           4         1.024000e-01         2.387500e-01         5.213822e-01
           5         1.039200e+00         3.988400e-01         4.409992e-01
           6         2.691600e+00         7.809667e-01         5.066949e-01
           7        -5.047000e-01         5.973000e-01         4.664113e-01
           8         6.566000e-01         6.047125e-01         4.081688e-01
           9        -1.132600e+00         4.116778e-01         4.059040e-01
          10        -1.064600e+00         2.640500e-01         3.912398e-01
          11        -8.835000e-01         1.597273e-01         3.693194e-01
          12         1.710600e+00         2.889667e-01         3.604471e-01
          13         6.493000e-01         3.166846e-01         3.337845e-01
          14         9.616000e-01         3.627500e-01         3.131053e-01
          15         2.730700e+00         5.206133e-01         3.296343e-01
          16         1.699000e+00         5.942625e-01         3.171531e-01
          17         5.311000e-01         5.905471e-01         2.985188e-01
          18        -2.518000e-01         5.437500e-01         2.855789e-01
          19        -1.261500e+00         4.487368e-01         2.859175e-01
          20        -1.635900e+00         3.445050e-01         2.899989e-01
