    # BLOCK:          ACTUAL_M:          M_AVE:              ERROR:
           1        -8.372000e-01        -8.372000e-01         0.000000e+00
           2        -1.320000e-01        -4.846000e-01         2.493259e-01
           3        -4.460000e-02        -3.379333e-01         2.048631e-01
           4         3.194000e-01        -1.736000e-01         2.094316e-01
           5         4.023000e-01        -5.842000e-02         1.966839e-01
           6        -1.240000e-01        -6.935000e-02         1.642067e-01
           7         4.928000e-01         1.095714e-02         1.591794e-01
           8         5.020000e-02         1.586250e-02         1.393575e-01
           9        -6.500000e-02         6.877778e-03         1.241627e-01
          10        -2.168000e-01        -1.549000e-02         1.137433e-01
          11        -1.010000e-01        -2.326364e-02         1.036683e-01
          12        -2.760000e-02        -2.362500e-02         9.502992e-02
          13         1.780000e-02        -2.043846e-02         8.777334e-02
          14         1.930000e-02        -1.760000e-02         8.154970e-02
          15         1.445000e-01        -6.793333e-03         7.682574e-02
          16         6.390000e-01         3.356875e-02         8.194361e-02
          17        -2.550000e-02         3.009412e-02         7.719703e-02
          18         1.841000e-01         3.865000e-02         7.338091e-02
          19        -2.024000e-01         2.596316e-02         7.060695e-02
          20        -2.853000e-01         1.040000e-02         6.877043e-02
