    # BLOCK:          ACTUAL_M:          M_AVE:              ERROR:
           1         2.290000e-02         2.290000e-02         0.000000e+00
           2         1.138000e-01         6.835000e-02         3.213800e-02
           3         2.826000e-01         1.397667e-01         6.212304e-02
           4         2.830000e-02         1.119000e-01         5.247146e-02
           5         2.017000e-01         1.298600e-01         4.494588e-02
           6        -2.276000e-01         7.028333e-02         6.603548e-02
           7        -3.677000e-01         7.714286e-03         8.099003e-02
           8         1.594000e-01         2.667500e-02         7.305203e-02
           9         8.510000e-02         3.316667e-02         6.522294e-02
          10        -2.064000e-01         9.210000e-03         6.294677e-02
          11        -4.670000e-01        -3.408182e-02         7.055796e-02
          12        -2.419000e-01        -5.140000e-02         6.676965e-02
          13        -5.740000e-02        -5.186154e-02         6.163512e-02
          14        -2.411000e-01        -6.537857e-02         5.869609e-02
          15         1.093000e-01        -5.373333e-02         5.592629e-02
          16         1.230000e-02        -4.960625e-02         5.258296e-02
          17        -1.880000e-02        -4.779412e-02         4.952106e-02
          18        -3.819000e-01        -6.635556e-02         5.012793e-02
          19         1.191000e-01        -5.659474e-02         4.843060e-02
          20         5.602000e-01        -2.575500e-02         5.495788e-02
