    # BLOCK:          ACTUAL_M:          M_AVE:              ERROR:
           1         9.780000e-02         9.780000e-02         0.000000e+00
           2         1.398000e-01         1.188000e-01         1.484924e-02
           3        -4.693000e-01        -7.723333e-02         1.603664e-01
           4         1.600000e-02        -5.392500e-02         1.219569e-01
           5         1.627000e-01        -1.060000e-02         1.049794e-01
           6        -2.877000e-01        -5.678333e-02         9.711160e-02
           7         1.037000e-01        -3.385714e-02         8.590212e-02
           8        -1.200000e-02        -3.112500e-02         7.520779e-02
           9         1.134000e-01        -1.506667e-02         6.854431e-02
          10         6.080000e-02        -7.480000e-03         6.210832e-02
          11         9.360000e-02         1.709091e-03         5.713784e-02
          12         2.790000e-02         3.891667e-03         5.241802e-02
          13         1.237000e-01         1.310769e-02         4.918937e-02
          14         1.656000e-01         2.400000e-02         4.686630e-02
          15         2.830000e-02         2.428667e-02         4.374276e-02
          16         3.464000e-01         4.441875e-02         4.540588e-02
          17        -1.365000e-01         3.377647e-02         4.396444e-02
          18         3.859000e-01         5.333889e-02         4.566729e-02
          19        -8.540000e-02         4.603684e-02         4.384365e-02
          20         9.960000e-02         4.871500e-02         4.173318e-02
