    # BLOCK:          ACTUAL_M:          M_AVE:              ERROR:
           1         4.086000e-01         4.086000e-01         0.000000e+00
           2        -2.172000e-01         9.570000e-02         2.212537e-01
           3         3.131000e-01         1.681667e-01         1.589274e-01
           4        -4.689000e-01         8.900000e-03         1.822964e-01
           5        -4.671000e-01        -8.630000e-02         1.688754e-01
           6         1.543700e+00         1.853667e-01         2.851440e-01
           7         4.571000e-01         2.241857e-01         2.470374e-01
           8        -2.356000e-01         1.667125e-01         2.227430e-01
           9        -8.849000e-01         4.986667e-02         2.265778e-01
          10        -2.363000e-01         2.125000e-02         2.057192e-01
          11        -2.473000e-01        -3.163636e-03         1.884605e-01
          12         4.570000e-01         3.518333e-02         1.766137e-01
          13         6.933000e-01         8.580769e-02         1.701289e-01
          14        -6.348000e-01         3.433571e-02         1.655802e-01
          15         1.101000e-01         3.938667e-02         1.546185e-01
          16         2.611000e-01         5.324375e-02         1.455745e-01
          17         6.711000e-01         8.958824e-02         1.414755e-01
          18        -1.586000e-01         7.580000e-02         1.342859e-01
          19        -5.090000e-01         4.502105e-02         1.306980e-01
          20        -3.556000e-01         2.499000e-02         1.256887e-01
