    # BLOCK:          ACTUAL_M:          M_AVE:              ERROR:
           1        -2.868000e-01        -2.868000e-01         0.000000e+00
           2         3.532000e-01         3.320000e-02         2.262742e-01
           3         5.381000e-01         2.015000e-01         2.040559e-01
           4        -4.107000e-01         4.845000e-02         2.024600e-01
           5        -6.620000e-02         2.552000e-02         1.632613e-01
           6         5.505000e-01         1.130167e-01         1.577645e-01
           7        -2.151000e-01         6.614286e-02         1.420195e-01
           8         4.463000e-01         1.136625e-01         1.319778e-01
           9         6.038000e-01         1.681222e-01         1.280578e-01
          10        -6.704000e-01         8.427000e-02         1.400397e-01
          11        -1.746000e-01         6.073636e-02         1.292711e-01
          12         1.530000e-02         5.695000e-02         1.185539e-01
          13        -5.149000e-01         1.296154e-02         1.173117e-01
          14         6.563000e-01         5.891429e-02         1.175885e-01
          15        -3.978000e-01         2.846667e-02         1.136229e-01
          16         6.768000e-01         6.898750e-02         1.135171e-01
          17         1.440200e+00         1.496471e-01         1.324310e-01
          18        -2.071000e-01         1.298278e-01         1.265481e-01
          19        -1.971000e-01         1.126211e-01         1.210518e-01
          20        -3.560000e-01         8.919000e-02         1.172450e-01
