    # BLOCK:          ACTUAL_CV:          CV_AVE:              ERROR:
           1         1.166969e+01         1.166969e+01         0.000000e+00
           2         1.167680e+01         1.167325e+01         2.513805e-03
           3         1.165726e+01         1.166792e+01         4.664110e-03
           4         1.151311e+01         1.162922e+01         3.369835e-02
           5         1.160619e+01         1.162461e+01         2.727165e-02
           6         1.138306e+01         1.158435e+01         4.321016e-02
           7         1.173425e+01         1.160577e+01         4.200982e-02
           8         1.179191e+01         1.162903e+01         4.271926e-02
           9         1.172220e+01         1.163939e+01         3.920693e-02
          10         1.142946e+01         1.161839e+01         4.051853e-02
          11         1.153147e+01         1.161049e+01         3.759776e-02
          12         1.134531e+01         1.158839e+01         4.044065e-02
          13         1.147581e+01         1.157973e+01         3.824593e-02
          14         1.139211e+01         1.156633e+01         3.778917e-02
          15         1.166813e+01         1.157312e+01         3.587418e-02
          16         1.153907e+01         1.157099e+01         3.369509e-02
          17         1.172190e+01         1.157987e+01         3.286153e-02
          18         1.140712e+01         1.157027e+01         3.240701e-02
          19         1.158280e+01         1.157093e+01         3.070809e-02
          20         1.162432e+01         1.157360e+01         2.928851e-02
