    # BLOCK:          ACTUAL_CV:          CV_AVE:              ERROR:
           1         2.360414e+01         2.360414e+01         0.000000e+00
           2         2.290225e+01         2.325320e+01         2.481561e-01
           3         2.404117e+01         2.351586e+01         2.708538e-01
           4         2.329133e+01         2.345972e+01         2.088758e-01
           5         2.273410e+01         2.331460e+01         2.115930e-01
           6         2.449062e+01         2.351060e+01         2.512089e-01
           7         2.334520e+01         2.348697e+01         2.164303e-01
           8         2.277308e+01         2.339774e+01         2.069571e-01
           9         2.407339e+01         2.347281e+01         1.971083e-01
          10         2.355698e+01         2.348123e+01         1.775771e-01
          11         2.441612e+01         2.356622e+01         1.806309e-01
          12         2.352738e+01         2.356298e+01         1.656073e-01
          13         2.406539e+01         2.360163e+01         1.573131e-01
          14         2.295851e+01         2.355569e+01         1.526362e-01
          15         2.369898e+01         2.356524e+01         1.427591e-01
          16         2.225741e+01         2.348350e+01         1.554865e-01
          17         2.289278e+01         2.344875e+01         1.501729e-01
          18         2.390137e+01         2.347390e+01         1.439198e-01
          19         2.268302e+01         2.343227e+01         1.422373e-01
          20         2.419373e+01         2.347035e+01         1.401283e-01
