    # BLOCK:          ACTUAL_CV:          CV_AVE:              ERROR:
           1         2.678896e+01         2.678896e+01         0.000000e+00
           2         2.384714e+01         2.531805e+01         1.040091e+00
           3         2.399207e+01         2.487606e+01         7.816862e-01
           4         2.565299e+01         2.507029e+01         6.099187e-01
           5         2.474290e+01         2.500481e+01         4.914370e-01
           6         2.478706e+01         2.496852e+01         4.108688e-01
           7         2.420432e+01         2.485935e+01         3.663902e-01
           8         2.522766e+01         2.490539e+01         3.234709e-01
           9         2.588677e+01         2.501443e+01         3.053564e-01
          10         2.366045e+01         2.487903e+01         3.033575e-01
          11         2.528764e+01         2.491618e+01         2.780445e-01
          12         2.562754e+01         2.497546e+01         2.611171e-01
          13         2.624541e+01         2.507315e+01         2.586599e-01
          14         2.441557e+01         2.502618e+01         2.444115e-01
          15         2.511796e+01         2.503230e+01         2.281940e-01
          16         2.334834e+01         2.492705e+01         2.369632e-01
          17         2.504291e+01         2.493387e+01         2.231221e-01
          18         2.609883e+01         2.499859e+01         2.199129e-01
          19         2.440521e+01         2.496736e+01         2.105444e-01
          20         2.447049e+01         2.494251e+01         2.014775e-01
