    # BLOCK:          ACTUAL_CV:          CV_AVE:              ERROR:
           1         1.363112e+01         1.363112e+01         0.000000e+00
           2         1.341744e+01         1.352428e+01         7.554805e-02
           3         1.375410e+01         1.360089e+01         8.030567e-02
           4         1.385164e+01         1.366358e+01         8.108569e-02
           5         1.354004e+01         1.363887e+01         6.852921e-02
           6         1.361091e+01         1.363421e+01         5.726588e-02
           7         1.378486e+01         1.365573e+01         5.297505e-02
           8         1.395705e+01         1.369340e+01         5.822327e-02
           9         1.373269e+01         1.369776e+01         5.191743e-02
          10         1.356992e+01         1.368498e+01         4.827409e-02
          11         1.393914e+01         1.370808e+01         4.910469e-02
          12         1.343348e+01         1.368520e+01         5.006151e-02
          13         1.348661e+01         1.366992e+01         4.848529e-02
          14         1.366702e+01         1.366972e+01         4.502249e-02
          15         1.375930e+01         1.367569e+01         4.241528e-02
          16         1.371466e+01         1.367813e+01         3.983421e-02
          17         1.354780e+01         1.367046e+01         3.822154e-02
          18         1.362056e+01         1.366769e+01         3.619853e-02
          19         1.383198e+01         1.367633e+01         3.531108e-02
          20         1.376405e+01         1.368072e+01         3.381680e-02
