    # BLOCK:          ACTUAL_CV:          CV_AVE:              ERROR:
           1         1.346191e+01         1.346191e+01         0.000000e+00
           2         1.490163e+01         1.418177e+01         5.090195e-01
           3         1.555422e+01         1.463925e+01         5.046610e-01
           4         1.149756e+01         1.385383e+01         7.784130e-01
           5         1.450655e+01         1.398437e+01         6.335824e-01
           6         1.301171e+01         1.382226e+01         5.483324e-01
           7         1.239503e+01         1.361837e+01         5.064899e-01
           8         1.423310e+01         1.369521e+01         4.489698e-01
           9         1.079133e+01         1.337256e+01         5.018031e-01
          10         1.507821e+01         1.354312e+01         4.797359e-01
          11         1.015914e+01         1.323549e+01         5.255847e-01
          12         1.055349e+01         1.301199e+01         5.271691e-01
          13         1.501754e+01         1.316626e+01         5.086906e-01
          14         8.923412e+00         1.286320e+01         5.553424e-01
          15         1.367158e+01         1.291709e+01         5.209280e-01
          16         1.066637e+01         1.277642e+01         5.070075e-01
          17         1.100416e+01         1.267217e+01         4.877839e-01
          18         1.194682e+01         1.263188e+01         4.623463e-01
          19         9.923095e+00         1.248931e+01         4.594676e-01
          20         1.708636e+01         1.271916e+01         4.906300e-01
