    # BLOCK:          ACTUAL_P:          P_AVE:              ERROR:
           1         7.750396e+00         7.750396e+00         0.000000e+00
           2         7.766128e+00         7.758262e+00         5.562335e-03
           3         7.771008e+00         7.762511e+00         5.077968e-03
           4         7.779097e+00         7.766657e+00         5.234556e-03
           5         7.751582e+00         7.763642e+00         4.980871e-03
           6         7.785411e+00         7.767270e+00         5.310164e-03
           7         7.793911e+00         7.771076e+00         5.756061e-03
           8         7.745286e+00         7.767852e+00         5.870303e-03
           9         7.801383e+00         7.771578e+00         6.290169e-03
          10         7.755935e+00         7.770014e+00         5.852431e-03
          11         7.769809e+00         7.769995e+00         5.320422e-03
          12         7.768722e+00         7.769889e+00         4.878111e-03
          13         7.762742e+00         7.769339e+00         4.533746e-03
          14         7.726591e+00         7.766286e+00         5.136221e-03
          15         7.755484e+00         7.765566e+00         4.844026e-03
          16         7.757894e+00         7.765086e+00         4.564942e-03
          17         7.759008e+00         7.764729e+00         4.310393e-03
          18         7.773036e+00         7.765190e+00         4.095557e-03
          19         7.746991e+00         7.764232e+00         3.990440e-03
          20         7.777170e+00         7.764879e+00         3.842989e-03
          21         7.717346e+00         7.762616e+00         4.274913e-03
          22         7.763724e+00         7.762666e+00         4.080895e-03
          23         7.753319e+00         7.762260e+00         3.923648e-03
          24         7.765021e+00         7.762375e+00         3.761850e-03
          25         7.762549e+00         7.762382e+00         3.611382e-03
          26         7.784013e+00         7.763214e+00         3.567031e-03
          27         7.757246e+00         7.762993e+00         3.441760e-03
          28         7.801943e+00         7.764384e+00         3.588972e-03
          29         7.734922e+00         7.763368e+00         3.606139e-03
          30         7.764921e+00         7.763420e+00         3.486306e-03
          31         7.753401e+00         7.763097e+00         3.388792e-03
          32         7.740871e+00         7.762402e+00         3.353314e-03
          33         7.740291e+00         7.761732e+00         3.317962e-03
          34         7.740633e+00         7.761111e+00         3.277893e-03
          35         7.751639e+00         7.760841e+00         3.195391e-03
          36         7.772659e+00         7.761169e+00         3.123449e-03
          37         7.747269e+00         7.760793e+00         3.061541e-03
          38         7.733224e+00         7.760068e+00         3.065731e-03
          39         7.817988e+00         7.761553e+00         3.327458e-03
          40         7.737283e+00         7.760946e+00         3.299125e-03
          41         7.777247e+00         7.761344e+00         3.242527e-03
          42         7.736225e+00         7.760746e+00         3.220006e-03
          43         7.775408e+00         7.761087e+00         3.163126e-03
          44         7.739820e+00         7.760603e+00         3.127946e-03
          45         7.761603e+00         7.760626e+00         3.058515e-03
          46         7.734267e+00         7.760053e+00         3.045230e-03
          47         7.719904e+00         7.759198e+00         3.097934e-03
          48         7.721974e+00         7.758423e+00         3.128955e-03
          49         7.747032e+00         7.758190e+00         3.073723e-03
          50         7.731212e+00         7.757651e+00         3.059240e-03
          51         7.752153e+00         7.757543e+00         3.001154e-03
          52         7.762109e+00         7.757631e+00         2.944723e-03
          53         7.775982e+00         7.757977e+00         2.909449e-03
          54         7.744261e+00         7.757723e+00         2.866635e-03
          55         7.761671e+00         7.757795e+00         2.815413e-03
          56         7.779689e+00         7.758186e+00         2.792151e-03
          57         7.785742e+00         7.758669e+00         2.784705e-03
          58         7.777452e+00         7.758993e+00         2.755459e-03
          59         7.716676e+00         7.758276e+00         2.800550e-03
          60         7.747082e+00         7.758089e+00         2.760082e-03
