    # BLOCK:          ACTUAL_T:              T_AVE:              ERROR:
         118         8.042734e-01         8.045879e-01         2.276897e-04
         119         8.050524e-01         8.045918e-01         2.258098e-04
         120         8.062808e-01         8.046059e-01         2.243663e-04
         121         8.080256e-01         8.046341e-01         2.242850e-04
         122         8.069066e-01         8.046527e-01         2.232188e-04
         123         8.051102e-01         8.046565e-01         2.214349e-04
         124         8.029907e-01         8.046430e-01         2.200563e-04
         125         8.070908e-01         8.046626e-01         2.191654e-04
         126         8.056209e-01         8.046702e-01         2.175579e-04
         127         8.063122e-01         8.046831e-01         2.162287e-04
         128         8.027929e-01         8.046684e-01         2.150431e-04
         129         8.063371e-01         8.046813e-01         2.137648e-04
         130         8.051700e-01         8.046851e-01         2.121535e-04
         131         8.000361e-01         8.046496e-01         2.134816e-04
         132         8.057456e-01         8.046579e-01         2.120257e-04
         133         8.076742e-01         8.046806e-01         2.116410e-04
         134         8.057124e-01         8.046883e-01         2.102017e-04
         135         8.033843e-01         8.046786e-01         2.088664e-04
         136         8.060088e-01         8.046884e-01         2.075595e-04
         137         8.064347e-01         8.047011e-01         2.064355e-04
         138         8.027202e-01         8.046868e-01         2.054380e-04
         139         8.060662e-01         8.046967e-01         2.041996e-04
         140         8.072163e-01         8.047147e-01         2.035326e-04
         141         8.023708e-01         8.046981e-01         2.027669e-04
         142         8.063778e-01         8.047099e-01         2.016836e-04
         143         8.074946e-01         8.047294e-01         2.012112e-04
         144         8.024786e-01         8.047138e-01         2.004200e-04
         145         8.077043e-01         8.047344e-01         2.000962e-04
         146         8.059227e-01         8.047425e-01         1.988912e-04
         147         8.047759e-01         8.047427e-01         1.975383e-04
         148         8.024039e-01         8.047269e-01         1.968347e-04
         149         8.067173e-01         8.047403e-01         1.959665e-04
         150         8.034525e-01         8.047317e-01         1.948480e-04
         151         8.067763e-01         8.047453e-01         1.940275e-04
         152         8.047316e-01         8.047452e-01         1.927510e-04
         153         8.070844e-01         8.047605e-01         1.920967e-04
         154         8.069082e-01         8.047744e-01         1.913549e-04
         155         8.027668e-01         8.047614e-01         1.905582e-04
         156         8.076383e-01         8.047799e-01         1.902269e-04
         157         8.016041e-01         8.047597e-01         1.900877e-04
         158         8.095737e-01         8.047901e-01         1.913109e-04
         159         8.035573e-01         8.047824e-01         1.902647e-04
         160         8.028725e-01         8.047704e-01         1.894496e-04
         161         8.059466e-01         8.047777e-01         1.884137e-04
         162         8.037907e-01         8.047717e-01         1.873492e-04
         163         8.072429e-01         8.047868e-01         1.868122e-04
         164         8.008768e-01         8.047630e-01         1.871883e-04
         165         8.036526e-01         8.047562e-01         1.861748e-04
         166         8.045881e-01         8.047552e-01         1.850560e-04
         167         7.991464e-01         8.047216e-01         1.869708e-04
         168         8.049148e-01         8.047228e-01         1.858614e-04
         169         8.032299e-01         8.047140e-01         1.849715e-04
         170         8.059987e-01         8.047215e-01         1.840377e-04
         171         8.013575e-01         8.047018e-01         1.840099e-04
         172         8.020923e-01         8.046867e-01         1.835645e-04
         173         8.061754e-01         8.046953e-01         1.827050e-04
         174         8.083601e-01         8.047163e-01         1.828650e-04
         175         8.056722e-01         8.047218e-01         1.819016e-04
         176         8.034102e-01         8.047144e-01         1.810207e-04
         177         8.043419e-01         8.047122e-01         1.800102e-04
         178         8.065166e-01         8.047224e-01         1.792841e-04
         179         8.036552e-01         8.047164e-01         1.783816e-04
         180         8.037441e-01         8.047110e-01         1.774724e-04
         181         8.013767e-01         8.046926e-01         1.774454e-04
         182         8.047998e-01         8.046932e-01         1.764714e-04
         183         8.046688e-01         8.046931e-01         1.755071e-04
         184         8.024991e-01         8.046811e-01         1.749578e-04
         185         8.069503e-01         8.046934e-01         1.744415e-04
         186         8.020579e-01         8.046792e-01         1.740782e-04
         187         8.079233e-01         8.046966e-01         1.740096e-04
         188         8.024145e-01         8.046844e-01         1.735069e-04
         189         8.053120e-01         8.046878e-01         1.726206e-04
         190         8.040525e-01         8.046844e-01         1.717445e-04
         191         8.050868e-01         8.046865e-01         1.708582e-04
         192         8.088057e-01         8.047080e-01         1.713100e-04
         193         8.043321e-01         8.047060e-01         1.704334e-04
         194         8.071336e-01         8.047185e-01         1.700137e-04
         195         8.051593e-01         8.047208e-01         1.691568e-04
         196         8.039549e-01         8.047169e-01         1.683389e-04
         197         8.029824e-01         8.047081e-01         1.677145e-04
         198         8.097854e-01         8.047337e-01         1.688164e-04
         199         7.984579e-01         8.047022e-01         1.708885e-04
         200         8.092619e-01         8.047250e-01         1.715481e-04
