    # BLOCK:          ACTUAL_TE:              TE_AVE:              ERROR:
           1        -1.001738e+00        -1.001738e+00         0.000000e+00
           2        -1.007238e+00        -1.004488e+00         1.944629e-03
           3        -9.976056e-01        -1.002194e+00         2.277954e-03
           4        -1.004414e+00        -1.002749e+00         1.774813e-03
           5        -1.003664e+00        -1.002932e+00         1.429263e-03
           6        -1.003327e+00        -1.002998e+00         1.192570e-03
           7        -1.005643e+00        -1.003376e+00         1.080399e-03
           8        -1.005811e+00        -1.003680e+00         9.873135e-04
           9        -1.005967e+00        -1.003934e+00         9.097128e-04
          10        -9.970368e-01        -1.003244e+00         1.048089e-03
          11        -1.005008e+00        -1.003405e+00         9.649906e-04
          12        -1.000760e+00        -1.003184e+00         9.093888e-04
          13        -9.923428e-01        -1.002350e+00         1.160452e-03
          14        -1.001546e+00        -1.002293e+00         1.078983e-03
          15        -1.002870e+00        -1.002331e+00         1.007737e-03
          16        -1.005363e+00        -1.002521e+00         9.623989e-04
          17        -1.003890e+00        -1.002601e+00         9.091525e-04
          18        -1.004597e+00        -1.002712e+00         8.653779e-04
          19        -9.996956e-01        -1.002554e+00         8.342697e-04
          20        -1.007596e+00        -1.002806e+00         8.297760e-04
