    # BLOCK:          ACTUAL_TE:              TE_AVE:              ERROR:
           1        -6.148142e-01        -6.148142e-01         0.000000e+00
           2        -6.159256e-01        -6.153699e-01         3.929534e-04
           3        -6.155728e-01        -6.154375e-01         2.677272e-04
           4        -6.142146e-01        -6.151318e-01         3.322979e-04
           5        -6.137723e-01        -6.148599e-01         3.602979e-04
           6        -6.164639e-01        -6.151272e-01         3.869203e-04
           7        -6.178132e-01        -6.155109e-01         4.859932e-04
           8        -6.158735e-01        -6.155563e-01         4.273517e-04
           9        -6.132941e-01        -6.153049e-01         4.477257e-04
          10        -6.135032e-01        -6.151247e-01         4.377043e-04
          11        -6.175918e-01        -6.153490e-01         4.517331e-04
          12        -6.149968e-01        -6.153197e-01         4.150414e-04
          13        -6.147534e-01        -6.152761e-01         3.853941e-04
          14        -6.163736e-01        -6.153545e-01         3.657519e-04
          15        -6.115286e-01        -6.150994e-01         4.210132e-04
          16        -6.156451e-01        -6.151335e-01         3.960786e-04
          17        -6.161196e-01        -6.151915e-01         3.770035e-04
          18        -6.160022e-01        -6.152366e-01         3.587385e-04
          19        -6.148506e-01        -6.152163e-01         3.404321e-04
          20        -6.160152e-01        -6.152562e-01         3.257458e-04
