    # BLOCK:          ACTUAL_TE:              TE_AVE:              ERROR:
           1        -4.824092e-01        -4.824092e-01         0.000000e+00
           2        -4.831381e-01        -4.827736e-01         2.577263e-04
           3        -4.830792e-01        -4.828755e-01         1.908856e-04
           4        -4.838587e-01        -4.831213e-01         2.565379e-04
           5        -4.824239e-01        -4.829818e-01         2.401752e-04
           6        -4.816347e-01        -4.827573e-01         2.864736e-04
           7        -4.856040e-01        -4.831640e-01         4.494959e-04
           8        -4.843572e-01        -4.833131e-01         4.173227e-04
           9        -4.821149e-01        -4.831800e-01         3.916153e-04
          10        -4.821227e-01        -4.830742e-01         3.664486e-04
          11        -4.847311e-01        -4.832249e-01         3.627730e-04
          12        -4.832830e-01        -4.832297e-01         3.325743e-04
          13        -4.838422e-01        -4.832768e-01         3.103104e-04
          14        -4.840469e-01        -4.833318e-01         2.929796e-04
          15        -4.822573e-01        -4.832602e-01         2.820691e-04
          16        -4.833901e-01        -4.832683e-01         2.645567e-04
          17        -4.832502e-01        -4.832673e-01         2.489967e-04
          18        -4.838414e-01        -4.832991e-01         2.371975e-04
          19        -4.833395e-01        -4.833013e-01         2.247229e-04
          20        -4.837556e-01        -4.833240e-01         2.146319e-04
