    # BLOCK:          ACTUAL_M:          M_AVE:              ERROR:
           1         5.424100e+00         5.424100e+00         0.000000e+00
           2         5.445800e+00         5.434950e+00         7.672109e-03
           3         7.141900e+00         6.003933e+00         4.646011e-01
           4         5.381400e+00         5.848300e+00         3.736098e-01
           5         5.537400e+00         5.786120e+00         3.040181e-01
           6         5.033300e+00         5.660650e+00         2.780366e-01
           7         6.270500e+00         5.747771e+00         2.515967e-01
           8         5.942800e+00         5.772150e+00         2.213250e-01
           9         6.287700e+00         5.829433e+00         2.040117e-01
          10         4.770600e+00         5.723550e+00         2.092916e-01
          11         5.410200e+00         5.695064e+00         1.921940e-01
          12         4.814700e+00         5.621700e+00         1.896637e-01
          13         5.290600e+00         5.596231e+00         1.767760e-01
          14         5.111200e+00         5.561586e+00         1.675097e-01
          15         4.880400e+00         5.516173e+00         1.623814e-01
          16         5.631000e+00         5.523350e+00         1.523911e-01
          17         4.535700e+00         5.465253e+00         1.541039e-01
          18         6.129000e+00         5.502128e+00         1.498894e-01
          19         6.890400e+00         5.575195e+00         1.588142e-01
          20         5.200000e+00         5.556435e+00         1.519774e-01
