    # BLOCK:          ACTUAL_M:          M_AVE:              ERROR:
           1         1.255600e+00         1.255600e+00         0.000000e+00
           2         1.634600e+00         1.445100e+00         1.339967e-01
           3         1.966800e+00         1.619000e+00         1.677524e-01
           4         2.056800e+00         1.728450e+00         1.575237e-01
           5         1.858400e+00         1.754440e+00         1.281451e-01
           6         1.464600e+00         1.706133e+00         1.155344e-01
           7         1.558700e+00         1.685071e+00         1.009310e-01
           8         2.016000e+00         1.726437e+00         9.641956e-02
           9         1.819700e+00         1.736800e+00         8.626133e-02
          10         1.460600e+00         1.709180e+00         8.193779e-02
          11         2.132000e+00         1.747618e+00         8.301670e-02
          12         1.750000e+00         1.747817e+00         7.609888e-02
          13         1.621000e+00         1.738062e+00         7.086762e-02
          14         1.658000e+00         1.732343e+00         6.603598e-02
          15         1.559900e+00         1.720847e+00         6.262627e-02
          16         1.323000e+00         1.695981e+00         6.345675e-02
          17         1.049100e+00         1.657929e+00         7.021201e-02
          18         1.830900e+00         1.667539e+00         6.696571e-02
          19         1.926300e+00         1.681158e+00         6.481127e-02
          20         1.639900e+00         1.679095e+00         6.160353e-02
