    # BLOCK:          ACTUAL_M:          M_AVE:              ERROR:
           1         1.489300e+00         1.489300e+00         0.000000e+00
           2         1.646500e+00         1.567900e+00         5.557859e-02
           3         2.149200e+00         1.761667e+00         1.624907e-01
           4         2.278200e+00         1.890800e+00         1.654037e-01
           5         2.033300e+00         1.919300e+00         1.347559e-01
           6         1.751500e+00         1.891333e+00         1.151621e-01
           7         1.782600e+00         1.875800e+00         9.975245e-02
           8         2.302300e+00         1.929113e+00         1.005253e-01
           9         2.137800e+00         1.952300e+00         9.199121e-02
          10         1.648700e+00         1.921940e+00         8.765892e-02
          11         2.393000e+00         1.964764e+00         8.954124e-02
          12         1.928600e+00         1.961750e+00         8.213017e-02
          13         2.018700e+00         1.966131e+00         7.592921e-02
          14         1.869800e+00         1.959250e+00         7.081678e-02
          15         1.712300e+00         1.942787e+00         6.798241e-02
          16         1.478100e+00         1.913744e+00         6.966156e-02
          17         1.207700e+00         1.872212e+00         7.695489e-02
          18         2.221200e+00         1.891600e+00         7.508227e-02
          19         2.213000e+00         1.908516e+00         7.301125e-02
          20         1.764900e+00         1.901335e+00         6.971291e-02
