    # BLOCK:          ACTUAL_M:          M_AVE:              ERROR:
           1         1.840300e+00         1.840300e+00         0.000000e+00
           2         2.025000e+00         1.932650e+00         6.530131e-02
           3         2.690300e+00         2.185200e+00         2.107516e-01
           4         2.492300e+00         2.261975e+00         1.714787e-01
           5         2.046500e+00         2.218880e+00         1.424953e-01
           6         1.687100e+00         2.130250e+00         1.436896e-01
           7         1.989100e+00         2.110086e+00         1.245693e-01
           8         2.445300e+00         2.151988e+00         1.158313e-01
           9         2.618800e+00         2.203856e+00         1.139841e-01
          10         1.715000e+00         2.154970e+00         1.125817e-01
          11         2.664300e+00         2.201273e+00         1.114627e-01
          12         2.276800e+00         2.207567e+00         1.023517e-01
          13         2.349800e+00         2.218508e+00         9.506150e-02
          14         2.228500e+00         2.219221e+00         8.827407e-02
          15         1.794400e+00         2.190900e+00         8.681359e-02
          16         1.613100e+00         2.154788e+00         8.858086e-02
          17         1.340900e+00         2.106912e+00         9.543507e-02
          18         2.671500e+00         2.138278e+00         9.514803e-02
          19         2.474000e+00         2.155947e+00         9.176626e-02
          20         2.214800e+00         2.158890e+00         8.722511e-02
