    # BLOCK:          ACTUAL_M:          M_AVE:              ERROR:
           1         2.324190e+01         2.324190e+01         0.000000e+00
           2         2.279990e+01         2.302090e+01         1.562706e-01
           3         2.483870e+01         2.362683e+01         5.055924e-01
           4         2.150800e+01         2.309712e+01         5.951735e-01
           5         1.940090e+01         2.235788e+01         8.147973e-01
           6         2.320730e+01         2.249945e+01         6.911872e-01
           7         2.468080e+01         2.281107e+01         6.589596e-01
           8         2.255230e+01         2.277873e+01         5.773830e-01
           9         2.282700e+01         2.278409e+01         5.132543e-01
          10         2.174950e+01         2.268063e+01         4.722411e-01
          11         1.989140e+01         2.242706e+01         4.927047e-01
          12         1.984770e+01         2.221212e+01         4.963226e-01
          13         2.040160e+01         2.207285e+01         4.772841e-01
          14         1.938580e+01         2.188091e+01         4.802354e-01
          15         2.143330e+01         2.185107e+01         4.491459e-01
          16         2.516710e+01         2.205832e+01         4.664464e-01
          17         2.294680e+01         2.211059e+01         4.419266e-01
          18         2.465850e+01         2.225214e+01         4.394604e-01
          19         2.505000e+01         2.239939e+01         4.403117e-01
          20         2.609490e+01         2.258417e+01         4.554190e-01
