    # BLOCK:          ACTUAL_M:          M_AVE:              ERROR:
           1         1.032900e+00         1.032900e+00         0.000000e+00
           2         1.485300e+00         1.259100e+00         1.599476e-01
           3         1.888000e+00         1.468733e+00         2.016624e-01
           4         1.876800e+00         1.570750e+00         1.751604e-01
           5         1.749700e+00         1.606540e+00         1.437382e-01
           6         1.236700e+00         1.544900e+00         1.323402e-01
           7         1.329900e+00         1.514186e+00         1.169444e-01
           8         1.863000e+00         1.557788e+00         1.101551e-01
           9         1.597200e+00         1.562167e+00         9.800267e-02
          10         1.236700e+00         1.529620e+00         9.345063e-02
          11         1.957800e+00         1.568545e+00         9.270824e-02
          12         1.527600e+00         1.565133e+00         8.504532e-02
          13         1.475400e+00         1.558231e+00         7.878300e-02
          14         1.497200e+00         1.553871e+00         7.327615e-02
          15         1.323300e+00         1.538500e+00         6.998477e-02
          16         1.115300e+00         1.512050e+00         7.043184e-02
          17         9.654000e-01         1.479894e+00         7.326241e-02
          18         1.593400e+00         1.486200e+00         6.946313e-02
          19         1.718800e+00         1.498442e+00         6.687724e-02
          20         1.389000e+00         1.492970e+00         6.375686e-02
