    # BLOCK:          ACTUAL_PE:              PE_AVE:              ERROR:
         110        -4.149122e-01        -4.141149e-01         2.322334e-04
         111        -4.151648e-01        -4.141243e-01         2.303337e-04
         112        -4.150097e-01        -4.141323e-01         2.284128e-04
         113        -4.119279e-01        -4.141127e-01         2.272229e-04
         114        -4.077823e-01        -4.140572e-01         2.319159e-04
         115        -4.166146e-01        -4.140795e-01         2.309630e-04
         116        -4.126993e-01        -4.140676e-01         2.292782e-04
         117        -4.142788e-01        -4.140694e-01         2.273256e-04
         118        -4.158875e-01        -4.140848e-01         2.259207e-04
         119        -4.145031e-01        -4.140883e-01         2.240496e-04
         120        -4.139399e-01        -4.140870e-01         2.221859e-04
         121        -4.141420e-01        -4.140875e-01         2.203501e-04
         122        -4.148140e-01        -4.140935e-01         2.186244e-04
         123        -4.157388e-01        -4.141068e-01         2.172558e-04
         124        -4.131034e-01        -4.140987e-01         2.156544e-04
         125        -4.134774e-01        -4.140938e-01         2.139865e-04
         126        -4.107168e-01        -4.140670e-01         2.139600e-04
         127        -4.171473e-01        -4.140912e-01         2.136455e-04
         128        -4.114361e-01        -4.140705e-01         2.129810e-04
         129        -4.193844e-01        -4.141117e-01         2.152768e-04
         130        -4.168399e-01        -4.141327e-01         2.146413e-04
         131        -4.140040e-01        -4.141317e-01         2.130051e-04
         132        -4.198246e-01        -4.141748e-01         2.157135e-04
         133        -4.162645e-01        -4.141905e-01         2.146630e-04
         134        -4.121609e-01        -4.141754e-01         2.135948e-04
         135        -4.111630e-01        -4.141531e-01         2.131750e-04
         136        -4.164187e-01        -4.141697e-01         2.122574e-04
         137        -4.103009e-01        -4.141415e-01         2.125784e-04
         138        -4.147102e-01        -4.141456e-01         2.110779e-04
         139        -4.166467e-01        -4.141636e-01         2.103249e-04
         140        -4.209516e-01        -4.142121e-01         2.143384e-04
         141        -4.113661e-01        -4.141919e-01         2.137665e-04
         142        -4.177224e-01        -4.142168e-01         2.137021e-04
         143        -4.146501e-01        -4.142198e-01         2.122291e-04
         144        -4.169853e-01        -4.142390e-01         2.116225e-04
         145        -4.132265e-01        -4.142320e-01         2.102782e-04
         146        -4.143449e-01        -4.142328e-01         2.088393e-04
         147        -4.154945e-01        -4.142414e-01         2.075950e-04
         148        -4.163366e-01        -4.142555e-01         2.066745e-04
         149        -4.136608e-01        -4.142515e-01         2.053259e-04
         150        -4.111514e-01        -4.142309e-01         2.049946e-04
         151        -4.149785e-01        -4.142358e-01         2.036968e-04
         152        -4.121560e-01        -4.142221e-01         2.028157e-04
         153        -4.122235e-01        -4.142091e-01         2.019104e-04
         154        -4.164847e-01        -4.142238e-01         2.011393e-04
         155        -4.175434e-01        -4.142453e-01         2.009785e-04
         156        -4.163634e-01        -4.142588e-01         2.001483e-04
         157        -4.128387e-01        -4.142498e-01         1.990778e-04
         158        -4.143456e-01        -4.142504e-01         1.978187e-04
         159        -4.164455e-01        -4.142642e-01         1.970557e-04
         160        -4.129012e-01        -4.142557e-01         1.960082e-04
         161        -4.150866e-01        -4.142608e-01         1.948587e-04
         162        -4.169640e-01        -4.142775e-01         1.943689e-04
         163        -4.150546e-01        -4.142823e-01         1.932349e-04
         164        -4.143412e-01        -4.142827e-01         1.920570e-04
         165        -4.146558e-01        -4.142849e-01         1.909063e-04
         166        -4.133845e-01        -4.142795e-01         1.898334e-04
         167        -4.130566e-01        -4.142722e-01         1.888378e-04
         168        -4.171437e-01        -4.142893e-01         1.884857e-04
         169        -4.136616e-01        -4.142856e-01         1.874070e-04
         170        -4.137881e-01        -4.142826e-01         1.863274e-04
         171        -4.082738e-01        -4.142475e-01         1.885222e-04
         172        -4.156007e-01        -4.142554e-01         1.875902e-04
         173        -4.133414e-01        -4.142501e-01         1.865803e-04
         174        -4.137388e-01        -4.142471e-01         1.855311e-04
         175        -4.158699e-01        -4.142564e-01         1.847025e-04
         176        -4.141221e-01        -4.142556e-01         1.836546e-04
         177        -4.163963e-01        -4.142677e-01         1.830148e-04
         178        -4.115755e-01        -4.142526e-01         1.826106e-04
         179        -4.200885e-01        -4.142852e-01         1.844778e-04
         180        -4.167302e-01        -4.142988e-01         1.839524e-04
         181        -4.181772e-01        -4.143202e-01         1.841798e-04
         182        -4.145613e-01        -4.143216e-01         1.831726e-04
         183        -4.107503e-01        -4.143020e-01         1.832083e-04
         184        -4.203161e-01        -4.143347e-01         1.851052e-04
         185        -4.130551e-01        -4.143278e-01         1.842338e-04
         186        -4.133314e-01        -4.143224e-01         1.833212e-04
         187        -4.146518e-01        -4.143242e-01         1.823493e-04
         188        -4.154019e-01        -4.143299e-01         1.814695e-04
         189        -4.132672e-01        -4.143243e-01         1.805964e-04
         190        -4.120666e-01        -4.143124e-01         1.800364e-04
         191        -4.139305e-01        -4.143104e-01         1.791049e-04
         192        -4.108803e-01        -4.142926e-01         1.790609e-04
         193        -4.152378e-01        -4.142975e-01         1.782001e-04
         194        -4.145385e-01        -4.142987e-01         1.772859e-04
         195        -4.160381e-01        -4.143076e-01         1.766009e-04
         196        -4.144084e-01        -4.143081e-01         1.757007e-04
         197        -4.134624e-01        -4.143039e-01         1.748612e-04
         198        -4.166499e-01        -4.143157e-01         1.743791e-04
         199        -4.174945e-01        -4.143317e-01         1.742329e-04
         200        -4.138207e-01        -4.143291e-01         1.733805e-04
