    # BLOCK:          ACTUAL_CV:          CV_AVE:              ERROR:
           1         2.235484e+01         2.235484e+01         0.000000e+00
           2         2.167346e+01         2.201415e+01         2.409046e-01
           3         2.216013e+01         2.206281e+01         1.654443e-01
           4         2.199478e+01         2.204580e+01         1.249544e-01
           5         2.193469e+01         2.202358e+01         1.019204e-01
           6         2.138558e+01         2.191724e+01         1.289806e-01
           7         2.246232e+01         2.199511e+01         1.319835e-01
           8         2.172765e+01         2.196168e+01         1.196450e-01
           9         2.228370e+01         2.199746e+01         1.115731e-01
          10         2.176457e+01         2.197417e+01         1.028177e-01
          11         2.079608e+01         2.186707e+01         1.384353e-01
          12         2.164794e+01         2.184881e+01         1.280978e-01
          13         2.261674e+01         2.190788e+01         1.311592e-01
          14         2.179836e+01         2.190006e+01         1.220237e-01
          15         2.101869e+01         2.184130e+01         1.272516e-01
          16         2.162198e+01         2.182759e+01         1.200344e-01
          17         2.162777e+01         2.181584e+01         1.135476e-01
          18         2.212927e+01         2.183325e+01         1.085663e-01
          19         2.181145e+01         2.183211e+01         1.028584e-01
          20         2.189307e+01         2.183515e+01         9.776061e-02
