    # BLOCK:          ACTUAL_CV:          CV_AVE:              ERROR:
           1         1.159171e+01         1.159171e+01         0.000000e+00
           2         1.152822e+01         1.155997e+01         2.244995e-02
           3         1.165845e+01         1.159279e+01         3.069984e-02
           4         1.173953e+01         1.162948e+01         3.923600e-02
           5         1.160609e+01         1.162480e+01         3.166638e-02
           6         1.161401e+01         1.162300e+01         2.643964e-02
           7         1.165843e+01         1.162806e+01         2.314174e-02
           8         1.161127e+01         1.162597e+01         2.034398e-02
           9         1.147123e+01         1.160877e+01         2.428490e-02
          10         1.165136e+01         1.161303e+01         2.222669e-02
          11         1.167405e+01         1.161858e+01         2.088688e-02
          12         1.158845e+01         1.161607e+01         1.929665e-02
          13         1.167083e+01         1.162028e+01         1.826636e-02
          14         1.179516e+01         1.163277e+01         2.079870e-02
          15         1.154580e+01         1.162697e+01         2.020416e-02
          16         1.164932e+01         1.162837e+01         1.898963e-02
          17         1.160370e+01         1.162692e+01         1.792797e-02
          18         1.152105e+01         1.162104e+01         1.787079e-02
          19         1.141685e+01         1.161029e+01         1.990080e-02
          20         1.156639e+01         1.160810e+01         1.902645e-02
