    # BLOCK:          ACTUAL_CV:          CV_AVE:              ERROR:
           1         2.529924e+01         2.529924e+01         0.000000e+00
           2         2.453445e+01         2.491684e+01         2.703971e-01
           3         2.535118e+01         2.506162e+01         2.155670e-01
           4         2.519963e+01         2.509612e+01         1.644130e-01
           5         2.513994e+01         2.510489e+01         1.317637e-01
           6         2.496709e+01         2.508192e+01         1.117868e-01
           7         2.539693e+01         2.512692e+01         1.044835e-01
           8         2.362126e+01         2.493871e+01         1.983752e-01
           9         2.407582e+01         2.484284e+01         1.981528e-01
          10         2.484903e+01         2.484346e+01         1.783385e-01
          11         2.408156e+01         2.477419e+01         1.750602e-01
          12         2.459240e+01         2.475904e+01         1.611260e-01
          13         2.304946e+01         2.462754e+01         1.951533e-01
          14         2.508214e+01         2.466001e+01         1.838955e-01
          15         2.370966e+01         2.459665e+01         1.822232e-01
          16         2.517710e+01         2.463293e+01         1.744081e-01
          17         2.491513e+01         2.464953e+01         1.649369e-01
          18         2.494054e+01         2.466570e+01         1.565641e-01
          19         2.479640e+01         2.467258e+01         1.484749e-01
          20         2.601137e+01         2.473952e+01         1.554102e-01
